Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4291,4291,ACACA-PROT,Gene-PROT
1,4292,4292,ACACB-PROT,Gene-PROT
2,4353,4353,AKT1-PROT,Gene-PROT
3,4355,4355,AKT2-PROT,Gene-PROT
4,4356,4356,AKT3-PROT,Gene-PROT
5,4382,4382,ARAF-PROT,Gene-PROT
6,4440,4440,BAD-PROT,Gene-PROT
7,4477,4477,BRAF-PROT,Gene-PROT
8,4514,4514,CALM1-PROT,Gene-PROT
9,4515,4515,CALM2-PROT,Gene-PROT
10,4516,4516,CALM3-PROT,Gene-PROT
11,4517,4517,CALML3-PROT,Gene-PROT
12,4518,4518,CALML4-PROT,Gene-PROT
13,4519,4519,CALML5-PROT,Gene-PROT
14,4520,4520,CALML6-PROT,Gene-PROT
15,4553,4553,CBL-PROT,Gene-PROT
16,4554,4554,CBLB-PROT,Gene-PROT
17,4705,4705,CRK-PROT,Gene-PROT
18,4706,4706,CRKL-PROT,Gene-PROT
19,4871,4871,EIF4E-PROT,Gene-PROT
20,4872,4872,EIF4E1B-PROT,Gene-PROT
21,4873,4873,EIF4E2-PROT,Gene-PROT
22,4874,4874,EIF4EBP1-PROT,Gene-PROT
23,4877,4877,ELK1-PROT,Gene-PROT
24,4905,4905,EXOC7-PROT,Gene-PROT
25,4918,4918,FASN-PROT,Gene-PROT
26,4920,4920,FBP1-PROT,Gene-PROT
27,4921,4921,FBP2-PROT,Gene-PROT
28,4957,4957,FLOT1-PROT,Gene-PROT
29,4958,4958,FLOT2-PROT,Gene-PROT
30,4970,4970,FOXO1-PROT,Gene-PROT
31,4997,4997,G6PC1-PROT,Gene-PROT
32,4998,4998,G6PC2-PROT,Gene-PROT
33,4999,4999,G6PC3-PROT,Gene-PROT
34,5016,5016,GCK-PROT,Gene-PROT
35,5074,5074,GRB2-PROT,Gene-PROT
36,5106,5106,GSK3B-PROT,Gene-PROT
37,5113,5113,GYS1-PROT,Gene-PROT
38,5114,5114,GYS2-PROT,Gene-PROT
39,5139,5139,HK1-PROT,Gene-PROT
40,5140,5140,HK2-PROT,Gene-PROT
41,5141,5141,HK3-PROT,Gene-PROT
42,5142,5142,HKDC1-PROT,Gene-PROT
43,5151,5151,HRAS-PROT,Gene-PROT
44,5217,5217,IKBKB-PROT,Gene-PROT
45,5287,5287,INS-PROT,Gene-PROT
46,5290,5290,INSR-PROT,Gene-PROT
47,5303,5303,IRS1-PROT,Gene-PROT
48,5304,5304,IRS2-PROT,Gene-PROT
49,5305,5305,IRS4-PROT,Gene-PROT
50,5373,5373,KRAS-PROT,Gene-PROT
51,5457,5457,LIPE-PROT,Gene-PROT
52,5489,5489,MAP2K1-PROT,Gene-PROT
53,5490,5490,MAP2K2-PROT,Gene-PROT
54,5513,5513,MAPK1-PROT,Gene-PROT
55,5514,5514,MAPK10-PROT,Gene-PROT
56,5520,5520,MAPK3-PROT,Gene-PROT
57,5524,5524,MAPK8-PROT,Gene-PROT
58,5528,5528,MAPK9-PROT,Gene-PROT
59,5571,5571,MKNK1-PROT,Gene-PROT
60,5572,5572,MKNK2-PROT,Gene-PROT
61,5592,5592,MTOR-PROT,Gene-PROT
62,5674,5674,NRAS-PROT,Gene-PROT
63,5720,5720,PCK1-PROT,Gene-PROT
64,5721,5721,PCK2-PROT,Gene-PROT
65,5729,5729,PDE3B-PROT,Gene-PROT
66,5744,5744,PDPK1-PROT,Gene-PROT
67,5764,5764,PHKA1-PROT,Gene-PROT
68,5765,5765,PHKA2-PROT,Gene-PROT
69,5766,5766,PHKB-PROT,Gene-PROT
70,5767,5767,PHKG1-PROT,Gene-PROT
71,5768,5768,PHKG2-PROT,Gene-PROT
72,5778,5778,PIK3CA-PROT,Gene-PROT
73,5779,5779,PIK3CB-PROT,Gene-PROT
74,5780,5780,PIK3CD-PROT,Gene-PROT
75,5782,5782,PIK3R1-PROT,Gene-PROT
76,5783,5783,PIK3R2-PROT,Gene-PROT
77,5784,5784,PIK3R3-PROT,Gene-PROT
78,5794,5794,PKLR-PROT,Gene-PROT
79,5852,5852,PPARGC1A-PROT,Gene-PROT
80,5858,5858,PPP1CA-PROT,Gene-PROT
81,5859,5859,PPP1CB-PROT,Gene-PROT
82,5860,5860,PPP1CC-PROT,Gene-PROT
83,5865,5865,PPP1R3A-PROT,Gene-PROT
84,5866,5866,PPP1R3B-PROT,Gene-PROT
85,5867,5867,PPP1R3C-PROT,Gene-PROT
86,5868,5868,PPP1R3D-PROT,Gene-PROT
87,5869,5869,PPP1R3E-PROT,Gene-PROT
88,5870,5870,PPP1R3F-PROT,Gene-PROT
89,5902,5902,PRKAA1-PROT,Gene-PROT
90,5903,5903,PRKAA2-PROT,Gene-PROT
91,5904,5904,PRKAB1-PROT,Gene-PROT
92,5905,5905,PRKAB2-PROT,Gene-PROT
93,5906,5906,PRKACA-PROT,Gene-PROT
94,5907,5907,PRKACB-PROT,Gene-PROT
95,5908,5908,PRKACG-PROT,Gene-PROT
96,5909,5909,PRKAG1-PROT,Gene-PROT
97,5910,5910,PRKAG2-PROT,Gene-PROT
98,5911,5911,PRKAG3-PROT,Gene-PROT
99,5912,5912,PRKAR1A-PROT,Gene-PROT
100,5913,5913,PRKAR1B-PROT,Gene-PROT
101,5914,5914,PRKAR2A-PROT,Gene-PROT
102,5915,5915,PRKAR2B-PROT,Gene-PROT
103,5921,5921,PRKCI-PROT,Gene-PROT
104,5923,5923,PRKCZ-PROT,Gene-PROT
105,5949,5949,PTPN1-PROT,Gene-PROT
106,5956,5956,PTPRF-PROT,Gene-PROT
107,5962,5962,PYGB-PROT,Gene-PROT
108,5963,5963,PYGL-PROT,Gene-PROT
