Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4353,4353,AKT1-PROT,Gene-PROT
1,4354,4354,AKT1S1-PROT,Gene-PROT
2,4355,4355,AKT2-PROT,Gene-PROT
3,4356,4356,AKT3-PROT,Gene-PROT
4,4417,4417,ATP6V1A-PROT,Gene-PROT
5,4418,4418,ATP6V1B1-PROT,Gene-PROT
6,4419,4419,ATP6V1B2-PROT,Gene-PROT
7,4420,4420,ATP6V1C1-PROT,Gene-PROT
8,4421,4421,ATP6V1C2-PROT,Gene-PROT
9,4422,4422,ATP6V1D-PROT,Gene-PROT
10,4423,4423,ATP6V1E1-PROT,Gene-PROT
11,4424,4424,ATP6V1E2-PROT,Gene-PROT
12,4425,4425,ATP6V1F-PROT,Gene-PROT
13,4426,4426,ATP6V1G1-PROT,Gene-PROT
14,4427,4427,ATP6V1G2-PROT,Gene-PROT
15,4428,4428,ATP6V1G3-PROT,Gene-PROT
16,4429,4429,ATP6V1H-PROT,Gene-PROT
17,4477,4477,BRAF-PROT,Gene-PROT
18,4485,4485,CAB39-PROT,Gene-PROT
19,4486,4486,CAB39L-PROT,Gene-PROT
20,4551,4551,CASTOR1-PROT,Gene-PROT
21,4654,4654,CHUK-PROT,Gene-PROT
22,4663,4663,CLIP1-PROT,Gene-PROT
23,4792,4792,DDIT4-PROT,Gene-PROT
24,4796,4796,DEPDC5-PROT,Gene-PROT
25,4797,4797,DEPTOR-PROT,Gene-PROT
26,4836,4836,DVL1-PROT,Gene-PROT
27,4837,4837,DVL2-PROT,Gene-PROT
28,4838,4838,DVL3-PROT,Gene-PROT
29,4870,4870,EIF4B-PROT,Gene-PROT
30,4871,4871,EIF4E-PROT,Gene-PROT
31,4872,4872,EIF4E1B-PROT,Gene-PROT
32,4873,4873,EIF4E2-PROT,Gene-PROT
33,4874,4874,EIF4EBP1-PROT,Gene-PROT
34,4953,4953,FLCN-PROT,Gene-PROT
35,4965,4965,FNIP1-PROT,Gene-PROT
36,4966,4966,FNIP2-PROT,Gene-PROT
37,4987,4987,FZD1-PROT,Gene-PROT
38,4988,4988,FZD10-PROT,Gene-PROT
39,4989,4989,FZD2-PROT,Gene-PROT
40,4990,4990,FZD3-PROT,Gene-PROT
41,4991,4991,FZD4-PROT,Gene-PROT
42,4992,4992,FZD5-PROT,Gene-PROT
43,4993,4993,FZD6-PROT,Gene-PROT
44,4994,4994,FZD7-PROT,Gene-PROT
45,4995,4995,FZD8-PROT,Gene-PROT
46,4996,4996,FZD9-PROT,Gene-PROT
47,5073,5073,GRB10-PROT,Gene-PROT
48,5074,5074,GRB2-PROT,Gene-PROT
49,5106,5106,GSK3B-PROT,Gene-PROT
50,5151,5151,HRAS-PROT,Gene-PROT
51,5212,5212,IGF1-PROT,Gene-PROT
52,5213,5213,IGF1R-PROT,Gene-PROT
53,5217,5217,IKBKB-PROT,Gene-PROT
54,5287,5287,INS-PROT,Gene-PROT
55,5290,5290,INSR-PROT,Gene-PROT
56,5303,5303,IRS1-PROT,Gene-PROT
57,5373,5373,KRAS-PROT,Gene-PROT
58,5417,5417,LAMTOR1-PROT,Gene-PROT
59,5418,5418,LAMTOR2-PROT,Gene-PROT
60,5419,5419,LAMTOR3-PROT,Gene-PROT
61,5420,5420,LAMTOR4-PROT,Gene-PROT
62,5421,5421,LAMTOR5-PROT,Gene-PROT
63,5466,5466,LPIN1-PROT,Gene-PROT
64,5467,5467,LPIN2-PROT,Gene-PROT
65,5468,5468,LPIN3-PROT,Gene-PROT
66,5471,5471,LRP5-PROT,Gene-PROT
67,5472,5472,LRP6-PROT,Gene-PROT
68,5489,5489,MAP2K1-PROT,Gene-PROT
69,5490,5490,MAP2K2-PROT,Gene-PROT
70,5513,5513,MAPK1-PROT,Gene-PROT
71,5520,5520,MAPK3-PROT,Gene-PROT
72,5529,5529,MAPKAP1-PROT,Gene-PROT
73,5570,5570,MIOS-PROT,Gene-PROT
74,5574,5574,MLST8-PROT,Gene-PROT
75,5592,5592,MTOR-PROT,Gene-PROT
76,5668,5668,NPRL2-PROT,Gene-PROT
77,5669,5669,NPRL3-PROT,Gene-PROT
78,5674,5674,NRAS-PROT,Gene-PROT
79,5744,5744,PDPK1-PROT,Gene-PROT
80,5778,5778,PIK3CA-PROT,Gene-PROT
81,5779,5779,PIK3CB-PROT,Gene-PROT
82,5780,5780,PIK3CD-PROT,Gene-PROT
83,5782,5782,PIK3R1-PROT,Gene-PROT
84,5783,5783,PIK3R2-PROT,Gene-PROT
85,5784,5784,PIK3R3-PROT,Gene-PROT
86,5902,5902,PRKAA1-PROT,Gene-PROT
87,5903,5903,PRKAA2-PROT,Gene-PROT
88,5916,5916,PRKCA-PROT,Gene-PROT
89,5917,5917,PRKCB-PROT,Gene-PROT
90,5920,5920,PRKCG-PROT,Gene-PROT
91,5932,5932,PRR5-PROT,Gene-PROT
92,5976,5976,RAF1-PROT,Gene-PROT
93,6033,6033,RHEB-PROT,Gene-PROT
94,6034,6034,RHOA-PROT,Gene-PROT
95,6036,6036,RICTOR-PROT,Gene-PROT
96,6046,6046,RNF152-PROT,Gene-PROT
97,6054,6054,RPS6-PROT,Gene-PROT
98,6055,6055,RPS6KA1-PROT,Gene-PROT
99,6056,6056,RPS6KA2-PROT,Gene-PROT
100,6057,6057,RPS6KA3-PROT,Gene-PROT
101,6060,6060,RPS6KA6-PROT,Gene-PROT
102,6061,6061,RPS6KB1-PROT,Gene-PROT
103,6062,6062,RPS6KB2-PROT,Gene-PROT
104,6063,6063,RPTOR-PROT,Gene-PROT
105,6064,6064,RRAGA-PROT,Gene-PROT
106,6065,6065,RRAGB-PROT,Gene-PROT
107,6066,6066,RRAGC-PROT,Gene-PROT
108,6067,6067,RRAGD-PROT,Gene-PROT
109,6102,6102,SEC13-PROT,Gene-PROT
110,6103,6103,SEH1L-PROT,Gene-PROT
111,6110,6110,SESN2-PROT,Gene-PROT
112,6118,6118,SGK1-PROT,Gene-PROT
113,6145,6145,SKP2-PROT,Gene-PROT
114,6155,6155,SLC38A9-PROT,Gene-PROT
115,6156,6156,SLC3A2-PROT,Gene-PROT
116,6157,6157,SLC7A5-PROT,Gene-PROT
117,6187,6187,SOS1-PROT,Gene-PROT
118,6188,6188,SOS2-PROT,Gene-PROT
119,6220,6220,STK11-PROT,Gene-PROT
120,6224,6224,STRADA-PROT,Gene-PROT
121,6225,6225,STRADB-PROT,Gene-PROT
122,6243,6243,TBC1D7-PROT,Gene-PROT
123,6263,6263,TELO2-PROT,Gene-PROT
124,6311,6311,TNF-PROT,Gene-PROT
125,6317,6317,TNFRSF1A-PROT,Gene-PROT
126,6354,6354,TSC1-PROT,Gene-PROT
127,6355,6355,TSC2-PROT,Gene-PROT
128,6359,6359,TTI1-PROT,Gene-PROT
129,6366,6366,ULK1-PROT,Gene-PROT
130,6367,6367,ULK2-PROT,Gene-PROT
131,6390,6390,WDR24-PROT,Gene-PROT
132,6391,6391,WDR59-PROT,Gene-PROT
133,6393,6393,WNT1-PROT,Gene-PROT
134,6394,6394,WNT10A-PROT,Gene-PROT
135,6395,6395,WNT10B-PROT,Gene-PROT
136,6396,6396,WNT11-PROT,Gene-PROT
137,6397,6397,WNT16-PROT,Gene-PROT
138,6398,6398,WNT2-PROT,Gene-PROT
139,6399,6399,WNT2B-PROT,Gene-PROT
140,6400,6400,WNT3-PROT,Gene-PROT
141,6401,6401,WNT3A-PROT,Gene-PROT
142,6402,6402,WNT4-PROT,Gene-PROT
143,6403,6403,WNT5A-PROT,Gene-PROT
144,6404,6404,WNT5B-PROT,Gene-PROT
145,6405,6405,WNT6-PROT,Gene-PROT
146,6406,6406,WNT7A-PROT,Gene-PROT
147,6407,6407,WNT7B-PROT,Gene-PROT
148,6408,6408,WNT8A-PROT,Gene-PROT
149,6409,6409,WNT8B-PROT,Gene-PROT
150,6410,6410,WNT9A-PROT,Gene-PROT
151,6411,6411,WNT9B-PROT,Gene-PROT
152,4353,4353,AKT1-PROT,Gene-PROT
153,4354,4354,AKT1S1-PROT,Gene-PROT
154,4355,4355,AKT2-PROT,Gene-PROT
155,4356,4356,AKT3-PROT,Gene-PROT
156,4417,4417,ATP6V1A-PROT,Gene-PROT
157,4418,4418,ATP6V1B1-PROT,Gene-PROT
158,4419,4419,ATP6V1B2-PROT,Gene-PROT
159,4420,4420,ATP6V1C1-PROT,Gene-PROT
160,4421,4421,ATP6V1C2-PROT,Gene-PROT
161,4422,4422,ATP6V1D-PROT,Gene-PROT
162,4423,4423,ATP6V1E1-PROT,Gene-PROT
163,4424,4424,ATP6V1E2-PROT,Gene-PROT
164,4425,4425,ATP6V1F-PROT,Gene-PROT
165,4426,4426,ATP6V1G1-PROT,Gene-PROT
166,4427,4427,ATP6V1G2-PROT,Gene-PROT
167,4428,4428,ATP6V1G3-PROT,Gene-PROT
168,4429,4429,ATP6V1H-PROT,Gene-PROT
169,4477,4477,BRAF-PROT,Gene-PROT
170,4485,4485,CAB39-PROT,Gene-PROT
171,4486,4486,CAB39L-PROT,Gene-PROT
172,4551,4551,CASTOR1-PROT,Gene-PROT
173,4654,4654,CHUK-PROT,Gene-PROT
174,4663,4663,CLIP1-PROT,Gene-PROT
175,4792,4792,DDIT4-PROT,Gene-PROT
176,4796,4796,DEPDC5-PROT,Gene-PROT
177,4797,4797,DEPTOR-PROT,Gene-PROT
178,4836,4836,DVL1-PROT,Gene-PROT
179,4837,4837,DVL2-PROT,Gene-PROT
180,4838,4838,DVL3-PROT,Gene-PROT
181,4870,4870,EIF4B-PROT,Gene-PROT
182,4871,4871,EIF4E-PROT,Gene-PROT
183,4872,4872,EIF4E1B-PROT,Gene-PROT
184,4873,4873,EIF4E2-PROT,Gene-PROT
185,4874,4874,EIF4EBP1-PROT,Gene-PROT
186,4953,4953,FLCN-PROT,Gene-PROT
187,4965,4965,FNIP1-PROT,Gene-PROT
188,4966,4966,FNIP2-PROT,Gene-PROT
189,4987,4987,FZD1-PROT,Gene-PROT
190,4988,4988,FZD10-PROT,Gene-PROT
191,4989,4989,FZD2-PROT,Gene-PROT
192,4990,4990,FZD3-PROT,Gene-PROT
193,4991,4991,FZD4-PROT,Gene-PROT
194,4992,4992,FZD5-PROT,Gene-PROT
195,4993,4993,FZD6-PROT,Gene-PROT
196,4994,4994,FZD7-PROT,Gene-PROT
197,4995,4995,FZD8-PROT,Gene-PROT
198,4996,4996,FZD9-PROT,Gene-PROT
199,5073,5073,GRB10-PROT,Gene-PROT
200,5074,5074,GRB2-PROT,Gene-PROT
201,5106,5106,GSK3B-PROT,Gene-PROT
202,5151,5151,HRAS-PROT,Gene-PROT
203,5212,5212,IGF1-PROT,Gene-PROT
204,5213,5213,IGF1R-PROT,Gene-PROT
205,5217,5217,IKBKB-PROT,Gene-PROT
206,5287,5287,INS-PROT,Gene-PROT
207,5290,5290,INSR-PROT,Gene-PROT
208,5303,5303,IRS1-PROT,Gene-PROT
209,5373,5373,KRAS-PROT,Gene-PROT
210,5417,5417,LAMTOR1-PROT,Gene-PROT
211,5418,5418,LAMTOR2-PROT,Gene-PROT
212,5419,5419,LAMTOR3-PROT,Gene-PROT
213,5420,5420,LAMTOR4-PROT,Gene-PROT
214,5421,5421,LAMTOR5-PROT,Gene-PROT
215,5466,5466,LPIN1-PROT,Gene-PROT
216,5467,5467,LPIN2-PROT,Gene-PROT
217,5468,5468,LPIN3-PROT,Gene-PROT
218,5471,5471,LRP5-PROT,Gene-PROT
219,5472,5472,LRP6-PROT,Gene-PROT
220,5489,5489,MAP2K1-PROT,Gene-PROT
221,5490,5490,MAP2K2-PROT,Gene-PROT
222,5513,5513,MAPK1-PROT,Gene-PROT
223,5520,5520,MAPK3-PROT,Gene-PROT
224,5529,5529,MAPKAP1-PROT,Gene-PROT
225,5570,5570,MIOS-PROT,Gene-PROT
226,5574,5574,MLST8-PROT,Gene-PROT
227,5592,5592,MTOR-PROT,Gene-PROT
228,5668,5668,NPRL2-PROT,Gene-PROT
229,5669,5669,NPRL3-PROT,Gene-PROT
230,5674,5674,NRAS-PROT,Gene-PROT
231,5744,5744,PDPK1-PROT,Gene-PROT
232,5778,5778,PIK3CA-PROT,Gene-PROT
233,5779,5779,PIK3CB-PROT,Gene-PROT
234,5780,5780,PIK3CD-PROT,Gene-PROT
235,5782,5782,PIK3R1-PROT,Gene-PROT
236,5783,5783,PIK3R2-PROT,Gene-PROT
237,5784,5784,PIK3R3-PROT,Gene-PROT
238,5902,5902,PRKAA1-PROT,Gene-PROT
239,5903,5903,PRKAA2-PROT,Gene-PROT
240,5916,5916,PRKCA-PROT,Gene-PROT
241,5917,5917,PRKCB-PROT,Gene-PROT
242,5920,5920,PRKCG-PROT,Gene-PROT
243,5932,5932,PRR5-PROT,Gene-PROT
244,5976,5976,RAF1-PROT,Gene-PROT
245,6033,6033,RHEB-PROT,Gene-PROT
246,6034,6034,RHOA-PROT,Gene-PROT
247,6036,6036,RICTOR-PROT,Gene-PROT
248,6046,6046,RNF152-PROT,Gene-PROT
249,6054,6054,RPS6-PROT,Gene-PROT
250,6055,6055,RPS6KA1-PROT,Gene-PROT
251,6056,6056,RPS6KA2-PROT,Gene-PROT
252,6057,6057,RPS6KA3-PROT,Gene-PROT
253,6060,6060,RPS6KA6-PROT,Gene-PROT
254,6061,6061,RPS6KB1-PROT,Gene-PROT
255,6062,6062,RPS6KB2-PROT,Gene-PROT
256,6063,6063,RPTOR-PROT,Gene-PROT
257,6064,6064,RRAGA-PROT,Gene-PROT
258,6065,6065,RRAGB-PROT,Gene-PROT
259,6066,6066,RRAGC-PROT,Gene-PROT
260,6067,6067,RRAGD-PROT,Gene-PROT
261,6102,6102,SEC13-PROT,Gene-PROT
262,6103,6103,SEH1L-PROT,Gene-PROT
263,6110,6110,SESN2-PROT,Gene-PROT
264,6118,6118,SGK1-PROT,Gene-PROT
265,6145,6145,SKP2-PROT,Gene-PROT
266,6155,6155,SLC38A9-PROT,Gene-PROT
267,6156,6156,SLC3A2-PROT,Gene-PROT
268,6157,6157,SLC7A5-PROT,Gene-PROT
269,6187,6187,SOS1-PROT,Gene-PROT
270,6188,6188,SOS2-PROT,Gene-PROT
271,6220,6220,STK11-PROT,Gene-PROT
272,6224,6224,STRADA-PROT,Gene-PROT
273,6225,6225,STRADB-PROT,Gene-PROT
274,6243,6243,TBC1D7-PROT,Gene-PROT
275,6263,6263,TELO2-PROT,Gene-PROT
276,6311,6311,TNF-PROT,Gene-PROT
277,6317,6317,TNFRSF1A-PROT,Gene-PROT
278,6354,6354,TSC1-PROT,Gene-PROT
279,6355,6355,TSC2-PROT,Gene-PROT
280,6359,6359,TTI1-PROT,Gene-PROT
281,6366,6366,ULK1-PROT,Gene-PROT
282,6367,6367,ULK2-PROT,Gene-PROT
283,6390,6390,WDR24-PROT,Gene-PROT
284,6391,6391,WDR59-PROT,Gene-PROT
285,6393,6393,WNT1-PROT,Gene-PROT
286,6394,6394,WNT10A-PROT,Gene-PROT
287,6395,6395,WNT10B-PROT,Gene-PROT
288,6396,6396,WNT11-PROT,Gene-PROT
