Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4353,4353,AKT1-PROT,Gene-PROT
1,4355,4355,AKT2-PROT,Gene-PROT
2,4356,4356,AKT3-PROT,Gene-PROT
3,4368,4368,AOX1-PROT,Gene-PROT
4,4447,4447,BCL2-PROT,Gene-PROT
5,4449,4449,BCL2L1-PROT,Gene-PROT
6,4587,4587,CCND1-PROT,Gene-PROT
7,4588,4588,CCND2-PROT,Gene-PROT
8,4589,4589,CCND3-PROT,Gene-PROT
9,4633,4633,CDKN1A-PROT,Gene-PROT
10,4656,4656,CISH-PROT,Gene-PROT
11,4671,4671,CNTF-PROT,Gene-PROT
12,4672,4672,CNTFR-PROT,Gene-PROT
13,4704,4704,CREBBP-PROT,Gene-PROT
14,4707,4707,CRLF2-PROT,Gene-PROT
15,4711,4711,CSF2-PROT,Gene-PROT
16,4712,4712,CSF2RA-PROT,Gene-PROT
17,4713,4713,CSF2RB-PROT,Gene-PROT
18,4714,4714,CSF3-PROT,Gene-PROT
19,4715,4715,CSF3R-PROT,Gene-PROT
20,4716,4716,CSH1-PROT,Gene-PROT
21,4717,4717,CSH2-PROT,Gene-PROT
22,4732,4732,CTF1-PROT,Gene-PROT
23,4860,4860,EGF-PROT,Gene-PROT
24,4861,4861,EGFR-PROT,Gene-PROT
25,4887,4887,EP300-PROT,Gene-PROT
26,4889,4889,EPO-PROT,Gene-PROT
27,4890,4890,EPOR-PROT,Gene-PROT
28,4952,4952,FHL1-PROT,Gene-PROT
29,5021,5021,GFAP-PROT,Gene-PROT
30,5022,5022,GH1-PROT,Gene-PROT
31,5023,5023,GH2-PROT,Gene-PROT
32,5024,5024,GHR-PROT,Gene-PROT
33,5074,5074,GRB2-PROT,Gene-PROT
34,5151,5151,HRAS-PROT,Gene-PROT
35,5186,5186,IFNA1-PROT,Gene-PROT
36,5187,5187,IFNA10-PROT,Gene-PROT
37,5188,5188,IFNA13-PROT,Gene-PROT
38,5189,5189,IFNA14-PROT,Gene-PROT
39,5190,5190,IFNA16-PROT,Gene-PROT
40,5191,5191,IFNA17-PROT,Gene-PROT
41,5192,5192,IFNA2-PROT,Gene-PROT
42,5193,5193,IFNA21-PROT,Gene-PROT
43,5194,5194,IFNA4-PROT,Gene-PROT
44,5195,5195,IFNA5-PROT,Gene-PROT
45,5196,5196,IFNA6-PROT,Gene-PROT
46,5197,5197,IFNA7-PROT,Gene-PROT
47,5198,5198,IFNA8-PROT,Gene-PROT
48,5199,5199,IFNAR1-PROT,Gene-PROT
49,5200,5200,IFNAR2-PROT,Gene-PROT
50,5201,5201,IFNB1-PROT,Gene-PROT
51,5202,5202,IFNE-PROT,Gene-PROT
52,5203,5203,IFNG-PROT,Gene-PROT
53,5204,5204,IFNGR1-PROT,Gene-PROT
54,5205,5205,IFNGR2-PROT,Gene-PROT
55,5206,5206,IFNK-PROT,Gene-PROT
56,5207,5207,IFNL1-PROT,Gene-PROT
57,5208,5208,IFNL2-PROT,Gene-PROT
58,5209,5209,IFNL3-PROT,Gene-PROT
59,5210,5210,IFNLR1-PROT,Gene-PROT
60,5211,5211,IFNW1-PROT,Gene-PROT
61,5220,5220,IL10-PROT,Gene-PROT
62,5221,5221,IL10RA-PROT,Gene-PROT
63,5222,5222,IL10RB-PROT,Gene-PROT
64,5223,5223,IL11-PROT,Gene-PROT
65,5224,5224,IL11RA-PROT,Gene-PROT
66,5225,5225,IL12A-PROT,Gene-PROT
67,5226,5226,IL12B-PROT,Gene-PROT
68,5227,5227,IL12RB1-PROT,Gene-PROT
69,5228,5228,IL12RB2-PROT,Gene-PROT
70,5229,5229,IL13-PROT,Gene-PROT
71,5230,5230,IL13RA1-PROT,Gene-PROT
72,5231,5231,IL13RA2-PROT,Gene-PROT
73,5232,5232,IL15-PROT,Gene-PROT
74,5233,5233,IL15RA-PROT,Gene-PROT
75,5237,5237,IL17D-PROT,Gene-PROT
76,5244,5244,IL19-PROT,Gene-PROT
77,5249,5249,IL2-PROT,Gene-PROT
78,5250,5250,IL20-PROT,Gene-PROT
79,5251,5251,IL20RA-PROT,Gene-PROT
80,5252,5252,IL20RB-PROT,Gene-PROT
81,5253,5253,IL21-PROT,Gene-PROT
82,5254,5254,IL21R-PROT,Gene-PROT
83,5255,5255,IL22-PROT,Gene-PROT
84,5256,5256,IL22RA1-PROT,Gene-PROT
85,5257,5257,IL22RA2-PROT,Gene-PROT
86,5258,5258,IL23A-PROT,Gene-PROT
87,5259,5259,IL23R-PROT,Gene-PROT
88,5260,5260,IL24-PROT,Gene-PROT
89,5262,5262,IL27RA-PROT,Gene-PROT
90,5263,5263,IL2RA-PROT,Gene-PROT
91,5264,5264,IL2RB-PROT,Gene-PROT
92,5265,5265,IL2RG-PROT,Gene-PROT
93,5266,5266,IL3-PROT,Gene-PROT
94,5267,5267,IL3RA-PROT,Gene-PROT
95,5268,5268,IL4-PROT,Gene-PROT
96,5269,5269,IL4R-PROT,Gene-PROT
97,5270,5270,IL5-PROT,Gene-PROT
98,5271,5271,IL5RA-PROT,Gene-PROT
99,5272,5272,IL6-PROT,Gene-PROT
100,5273,5273,IL6R-PROT,Gene-PROT
101,5274,5274,IL6ST-PROT,Gene-PROT
102,5275,5275,IL7-PROT,Gene-PROT
103,5276,5276,IL7R-PROT,Gene-PROT
104,5277,5277,IL9-PROT,Gene-PROT
105,5278,5278,IL9R-PROT,Gene-PROT
106,5302,5302,IRF9-PROT,Gene-PROT
107,5340,5340,JAK1-PROT,Gene-PROT
108,5341,5341,JAK2-PROT,Gene-PROT
109,5342,5342,JAK3-PROT,Gene-PROT
110,5436,5436,LEP-PROT,Gene-PROT
111,5437,5437,LEPR-PROT,Gene-PROT
112,5444,5444,LIF-PROT,Gene-PROT
113,5445,5445,LIFR-PROT,Gene-PROT
114,5538,5538,MCL1-PROT,Gene-PROT
115,5586,5586,MPL-PROT,Gene-PROT
116,5592,5592,MTOR-PROT,Gene-PROT
117,5596,5596,MYC-PROT,Gene-PROT
118,5695,5695,OSM-PROT,Gene-PROT
119,5696,5696,OSMR-PROT,Gene-PROT
120,5734,5734,PDGFA-PROT,Gene-PROT
121,5735,5735,PDGFB-PROT,Gene-PROT
122,5738,5738,PDGFRA-PROT,Gene-PROT
123,5739,5739,PDGFRB-PROT,Gene-PROT
124,5771,5771,PIAS1-PROT,Gene-PROT
125,5772,5772,PIAS2-PROT,Gene-PROT
126,5773,5773,PIAS3-PROT,Gene-PROT
127,5774,5774,PIAS4-PROT,Gene-PROT
128,5778,5778,PIK3CA-PROT,Gene-PROT
129,5779,5779,PIK3CB-PROT,Gene-PROT
130,5780,5780,PIK3CD-PROT,Gene-PROT
131,5782,5782,PIK3R1-PROT,Gene-PROT
132,5783,5783,PIK3R2-PROT,Gene-PROT
133,5784,5784,PIK3R3-PROT,Gene-PROT
134,5788,5788,PIM1-PROT,Gene-PROT
135,5929,5929,PRL-PROT,Gene-PROT
136,5930,5930,PRLR-PROT,Gene-PROT
137,5950,5950,PTPN11-PROT,Gene-PROT
138,5951,5951,PTPN2-PROT,Gene-PROT
139,5953,5953,PTPN6-PROT,Gene-PROT
140,5976,5976,RAF1-PROT,Gene-PROT
141,6177,6177,SOCS1-PROT,Gene-PROT
142,6178,6178,SOCS2-PROT,Gene-PROT
143,6179,6179,SOCS3-PROT,Gene-PROT
144,6180,6180,SOCS4-PROT,Gene-PROT
145,6181,6181,SOCS5-PROT,Gene-PROT
146,6182,6182,SOCS6-PROT,Gene-PROT
147,6183,6183,SOCS7-PROT,Gene-PROT
148,6187,6187,SOS1-PROT,Gene-PROT
149,6188,6188,SOS2-PROT,Gene-PROT
150,6207,6207,STAM-PROT,Gene-PROT
151,6208,6208,STAM2-PROT,Gene-PROT
152,6209,6209,STAT1-PROT,Gene-PROT
153,6210,6210,STAT2-PROT,Gene-PROT
154,6211,6211,STAT3-PROT,Gene-PROT
155,6212,6212,STAT4-PROT,Gene-PROT
156,6213,6213,STAT5A-PROT,Gene-PROT
157,6214,6214,STAT5B-PROT,Gene-PROT
158,6215,6215,STAT6-PROT,Gene-PROT
159,6284,6284,THPO-PROT,Gene-PROT
160,6358,6358,TSLP-PROT,Gene-PROT
161,6363,6363,TYK2-PROT,Gene-PROT
162,4353,4353,AKT1-PROT,Gene-PROT
163,4355,4355,AKT2-PROT,Gene-PROT
164,4356,4356,AKT3-PROT,Gene-PROT
165,4368,4368,AOX1-PROT,Gene-PROT
166,4447,4447,BCL2-PROT,Gene-PROT
167,4449,4449,BCL2L1-PROT,Gene-PROT
168,4587,4587,CCND1-PROT,Gene-PROT
169,4588,4588,CCND2-PROT,Gene-PROT
170,4589,4589,CCND3-PROT,Gene-PROT
171,4633,4633,CDKN1A-PROT,Gene-PROT
172,4656,4656,CISH-PROT,Gene-PROT
173,4671,4671,CNTF-PROT,Gene-PROT
174,4672,4672,CNTFR-PROT,Gene-PROT
175,4704,4704,CREBBP-PROT,Gene-PROT
176,4707,4707,CRLF2-PROT,Gene-PROT
177,4711,4711,CSF2-PROT,Gene-PROT
178,4712,4712,CSF2RA-PROT,Gene-PROT
179,4713,4713,CSF2RB-PROT,Gene-PROT
180,4714,4714,CSF3-PROT,Gene-PROT
181,4715,4715,CSF3R-PROT,Gene-PROT
182,4716,4716,CSH1-PROT,Gene-PROT
183,4717,4717,CSH2-PROT,Gene-PROT
184,4732,4732,CTF1-PROT,Gene-PROT
185,4860,4860,EGF-PROT,Gene-PROT
186,4861,4861,EGFR-PROT,Gene-PROT
187,4887,4887,EP300-PROT,Gene-PROT
188,4889,4889,EPO-PROT,Gene-PROT
189,4890,4890,EPOR-PROT,Gene-PROT
190,4952,4952,FHL1-PROT,Gene-PROT
191,5021,5021,GFAP-PROT,Gene-PROT
192,5022,5022,GH1-PROT,Gene-PROT
193,5023,5023,GH2-PROT,Gene-PROT
194,5024,5024,GHR-PROT,Gene-PROT
195,5074,5074,GRB2-PROT,Gene-PROT
196,5151,5151,HRAS-PROT,Gene-PROT
197,5186,5186,IFNA1-PROT,Gene-PROT
198,5187,5187,IFNA10-PROT,Gene-PROT
199,5188,5188,IFNA13-PROT,Gene-PROT
200,5189,5189,IFNA14-PROT,Gene-PROT
201,5190,5190,IFNA16-PROT,Gene-PROT
202,5191,5191,IFNA17-PROT,Gene-PROT
203,5192,5192,IFNA2-PROT,Gene-PROT
204,5193,5193,IFNA21-PROT,Gene-PROT
205,5194,5194,IFNA4-PROT,Gene-PROT
206,5195,5195,IFNA5-PROT,Gene-PROT
207,5196,5196,IFNA6-PROT,Gene-PROT
208,5197,5197,IFNA7-PROT,Gene-PROT
209,5198,5198,IFNA8-PROT,Gene-PROT
210,5199,5199,IFNAR1-PROT,Gene-PROT
211,5200,5200,IFNAR2-PROT,Gene-PROT
212,5201,5201,IFNB1-PROT,Gene-PROT
213,5202,5202,IFNE-PROT,Gene-PROT
