Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4291,4291,ACACA-PROT,Gene-PROT
1,4292,4292,ACACB-PROT,Gene-PROT
2,4327,4327,ADIPOQ-PROT,Gene-PROT
3,4328,4328,ADIPOR1-PROT,Gene-PROT
4,4329,4329,ADIPOR2-PROT,Gene-PROT
5,4334,4334,ADRA1A-PROT,Gene-PROT
6,4353,4353,AKT1-PROT,Gene-PROT
7,4354,4354,AKT1S1-PROT,Gene-PROT
8,4355,4355,AKT2-PROT,Gene-PROT
9,4356,4356,AKT3-PROT,Gene-PROT
10,4485,4485,CAB39-PROT,Gene-PROT
11,4486,4486,CAB39L-PROT,Gene-PROT
12,4529,4529,CAMKK2-PROT,Gene-PROT
13,4582,4582,CCNA1-PROT,Gene-PROT
14,4583,4583,CCNA2-PROT,Gene-PROT
15,4587,4587,CCND1-PROT,Gene-PROT
16,4610,4610,CD36-PROT,Gene-PROT
17,4642,4642,CFTR-PROT,Gene-PROT
18,4697,4697,CREB1-PROT,Gene-PROT
19,4698,4698,CREB3-PROT,Gene-PROT
20,4699,4699,CREB3L1-PROT,Gene-PROT
21,4700,4700,CREB3L2-PROT,Gene-PROT
22,4701,4701,CREB3L3-PROT,Gene-PROT
23,4702,4702,CREB3L4-PROT,Gene-PROT
24,4703,4703,CREB5-PROT,Gene-PROT
25,4708,4708,CRTC2-PROT,Gene-PROT
26,4852,4852,EEF2-PROT,Gene-PROT
27,4853,4853,EEF2K-PROT,Gene-PROT
28,4874,4874,EIF4EBP1-PROT,Gene-PROT
29,4875,4875,ELAVL1-PROT,Gene-PROT
30,4918,4918,FASN-PROT,Gene-PROT
31,4997,4997,G6PC1-PROT,Gene-PROT
32,4998,4998,G6PC2-PROT,Gene-PROT
33,4999,4999,G6PC3-PROT,Gene-PROT
34,5113,5113,GYS1-PROT,Gene-PROT
35,5114,5114,GYS2-PROT,Gene-PROT
36,5143,5143,HMGCR-PROT,Gene-PROT
37,5147,5147,HNF4A-PROT,Gene-PROT
38,5212,5212,IGF1-PROT,Gene-PROT
39,5213,5213,IGF1R-PROT,Gene-PROT
40,5287,5287,INS-PROT,Gene-PROT
41,5290,5290,INSR-PROT,Gene-PROT
42,5303,5303,IRS1-PROT,Gene-PROT
43,5304,5304,IRS2-PROT,Gene-PROT
44,5305,5305,IRS4-PROT,Gene-PROT
45,5436,5436,LEP-PROT,Gene-PROT
46,5437,5437,LEPR-PROT,Gene-PROT
47,5457,5457,LIPE-PROT,Gene-PROT
48,5507,5507,MAP3K7-PROT,Gene-PROT
49,5575,5575,MLYCD-PROT,Gene-PROT
50,5592,5592,MTOR-PROT,Gene-PROT
51,5720,5720,PCK1-PROT,Gene-PROT
52,5721,5721,PCK2-PROT,Gene-PROT
53,5744,5744,PDPK1-PROT,Gene-PROT
54,5748,5748,PFKFB1-PROT,Gene-PROT
55,5749,5749,PFKFB2-PROT,Gene-PROT
56,5750,5750,PFKFB3-PROT,Gene-PROT
57,5751,5751,PFKFB4-PROT,Gene-PROT
58,5778,5778,PIK3CA-PROT,Gene-PROT
59,5779,5779,PIK3CB-PROT,Gene-PROT
60,5780,5780,PIK3CD-PROT,Gene-PROT
61,5782,5782,PIK3R1-PROT,Gene-PROT
62,5783,5783,PIK3R2-PROT,Gene-PROT
63,5784,5784,PIK3R3-PROT,Gene-PROT
64,5851,5851,PPARG-PROT,Gene-PROT
65,5852,5852,PPARGC1A-PROT,Gene-PROT
66,5902,5902,PRKAA1-PROT,Gene-PROT
67,5903,5903,PRKAA2-PROT,Gene-PROT
68,5904,5904,PRKAB1-PROT,Gene-PROT
69,5905,5905,PRKAB2-PROT,Gene-PROT
70,5909,5909,PRKAG1-PROT,Gene-PROT
71,5910,5910,PRKAG2-PROT,Gene-PROT
72,5911,5911,PRKAG3-PROT,Gene-PROT
73,5965,5965,RAB10-PROT,Gene-PROT
74,5966,5966,RAB11B-PROT,Gene-PROT
75,5967,5967,RAB14-PROT,Gene-PROT
76,5968,5968,RAB2A-PROT,Gene-PROT
77,5972,5972,RAB8A-PROT,Gene-PROT
78,6033,6033,RHEB-PROT,Gene-PROT
79,6061,6061,RPS6KB1-PROT,Gene-PROT
80,6062,6062,RPS6KB2-PROT,Gene-PROT
81,6063,6063,RPTOR-PROT,Gene-PROT
82,6098,6098,SCD-PROT,Gene-PROT
83,6099,6099,SCD5-PROT,Gene-PROT
84,6154,6154,SLC2A4-PROT,Gene-PROT
85,6200,6200,SREBF1-PROT,Gene-PROT
86,6220,6220,STK11-PROT,Gene-PROT
87,6224,6224,STRADA-PROT,Gene-PROT
88,6225,6225,STRADB-PROT,Gene-PROT
89,6241,6241,TBC1D1-PROT,Gene-PROT
90,6354,6354,TSC1-PROT,Gene-PROT
91,6355,6355,TSC2-PROT,Gene-PROT
92,6366,6366,ULK1-PROT,Gene-PROT
93,4291,4291,ACACA-PROT,Gene-PROT
94,4292,4292,ACACB-PROT,Gene-PROT
95,4327,4327,ADIPOQ-PROT,Gene-PROT
96,4328,4328,ADIPOR1-PROT,Gene-PROT
97,4329,4329,ADIPOR2-PROT,Gene-PROT
98,4334,4334,ADRA1A-PROT,Gene-PROT
99,4353,4353,AKT1-PROT,Gene-PROT
100,4354,4354,AKT1S1-PROT,Gene-PROT
101,4355,4355,AKT2-PROT,Gene-PROT
102,4356,4356,AKT3-PROT,Gene-PROT
103,4485,4485,CAB39-PROT,Gene-PROT
104,4486,4486,CAB39L-PROT,Gene-PROT
105,4529,4529,CAMKK2-PROT,Gene-PROT
106,4582,4582,CCNA1-PROT,Gene-PROT
107,4583,4583,CCNA2-PROT,Gene-PROT
108,4587,4587,CCND1-PROT,Gene-PROT
