Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4288,4288,ABL1-PROT,Gene-PROT
1,4289,4289,ABL2-PROT,Gene-PROT
2,4343,4343,AFDN-PROT,Gene-PROT
3,4353,4353,AKT1-PROT,Gene-PROT
4,4355,4355,AKT2-PROT,Gene-PROT
5,4356,4356,AKT3-PROT,Gene-PROT
6,4364,4364,ANGPT1-PROT,Gene-PROT
7,4365,4365,ANGPT2-PROT,Gene-PROT
8,4366,4366,ANGPT4-PROT,Gene-PROT
9,4386,4386,ARF6-PROT,Gene-PROT
10,4440,4440,BAD-PROT,Gene-PROT
11,4449,4449,BCL2L1-PROT,Gene-PROT
12,4455,4455,BDNF-PROT,Gene-PROT
13,4478,4478,BRAP-PROT,Gene-PROT
14,4484,4484,BUB1B-PAK6-PROT,Gene-PROT
15,4514,4514,CALM1-PROT,Gene-PROT
16,4515,4515,CALM2-PROT,Gene-PROT
17,4516,4516,CALM3-PROT,Gene-PROT
18,4517,4517,CALML3-PROT,Gene-PROT
19,4518,4518,CALML4-PROT,Gene-PROT
20,4519,4519,CALML5-PROT,Gene-PROT
21,4520,4520,CALML6-PROT,Gene-PROT
22,4627,4627,CDC42-PROT,Gene-PROT
23,4654,4654,CHUK-PROT,Gene-PROT
24,4709,4709,CSF1-PROT,Gene-PROT
25,4710,4710,CSF1R-PROT,Gene-PROT
26,4855,4855,EFNA1-PROT,Gene-PROT
27,4856,4856,EFNA2-PROT,Gene-PROT
28,4857,4857,EFNA3-PROT,Gene-PROT
29,4858,4858,EFNA4-PROT,Gene-PROT
30,4859,4859,EFNA5-PROT,Gene-PROT
31,4860,4860,EGF-PROT,Gene-PROT
32,4861,4861,EGFR-PROT,Gene-PROT
33,4877,4877,ELK1-PROT,Gene-PROT
34,4888,4888,EPHA2-PROT,Gene-PROT
35,4899,4899,ETS1-PROT,Gene-PROT
36,4900,4900,ETS2-PROT,Gene-PROT
37,4904,4904,EXOC2-PROT,Gene-PROT
38,4917,4917,FASLG-PROT,Gene-PROT
39,4929,4929,FGF1-PROT,Gene-PROT
40,4930,4930,FGF10-PROT,Gene-PROT
41,4931,4931,FGF16-PROT,Gene-PROT
42,4932,4932,FGF17-PROT,Gene-PROT
43,4933,4933,FGF18-PROT,Gene-PROT
44,4934,4934,FGF19-PROT,Gene-PROT
45,4935,4935,FGF2-PROT,Gene-PROT
46,4936,4936,FGF20-PROT,Gene-PROT
47,4937,4937,FGF21-PROT,Gene-PROT
48,4938,4938,FGF22-PROT,Gene-PROT
49,4939,4939,FGF23-PROT,Gene-PROT
50,4940,4940,FGF3-PROT,Gene-PROT
51,4941,4941,FGF4-PROT,Gene-PROT
52,4942,4942,FGF5-PROT,Gene-PROT
53,4943,4943,FGF6-PROT,Gene-PROT
54,4944,4944,FGF7-PROT,Gene-PROT
55,4945,4945,FGF8-PROT,Gene-PROT
56,4946,4946,FGF9-PROT,Gene-PROT
57,4947,4947,FGFR1-PROT,Gene-PROT
58,4948,4948,FGFR2-PROT,Gene-PROT
59,4949,4949,FGFR3-PROT,Gene-PROT
60,4950,4950,FGFR4-PROT,Gene-PROT
61,4959,4959,FLT1-PROT,Gene-PROT
62,4960,4960,FLT3-PROT,Gene-PROT
63,4961,4961,FLT3LG-PROT,Gene-PROT
64,4962,4962,FLT4-PROT,Gene-PROT
65,4972,4972,FOXO4-PROT,Gene-PROT
66,5000,5000,GAB1-PROT,Gene-PROT
67,5001,5001,GAB2-PROT,Gene-PROT
68,5047,5047,GNB1-PROT,Gene-PROT
69,5048,5048,GNB2-PROT,Gene-PROT
70,5049,5049,GNB3-PROT,Gene-PROT
71,5050,5050,GNB4-PROT,Gene-PROT
72,5051,5051,GNB5-PROT,Gene-PROT
73,5052,5052,GNG10-PROT,Gene-PROT
74,5053,5053,GNG11-PROT,Gene-PROT
75,5054,5054,GNG12-PROT,Gene-PROT
76,5055,5055,GNG13-PROT,Gene-PROT
77,5056,5056,GNG2-PROT,Gene-PROT
78,5057,5057,GNG3-PROT,Gene-PROT
79,5058,5058,GNG4-PROT,Gene-PROT
80,5059,5059,GNG5-PROT,Gene-PROT
81,5060,5060,GNG7-PROT,Gene-PROT
82,5061,5061,GNG8-PROT,Gene-PROT
83,5062,5062,GNGT1-PROT,Gene-PROT
84,5063,5063,GNGT2-PROT,Gene-PROT
85,5074,5074,GRB2-PROT,Gene-PROT
86,5133,5133,HGF-PROT,Gene-PROT
87,5151,5151,HRAS-PROT,Gene-PROT
88,5176,5176,HTR7-PROT,Gene-PROT
89,5212,5212,IGF1-PROT,Gene-PROT
90,5213,5213,IGF1R-PROT,Gene-PROT
91,5214,5214,IGF2-PROT,Gene-PROT
92,5217,5217,IKBKB-PROT,Gene-PROT
93,5219,5219,IKBKG-PROT,Gene-PROT
94,5287,5287,INS-PROT,Gene-PROT
95,5290,5290,INSR-PROT,Gene-PROT
96,5343,5343,JMJD7-PLA2G4B-PROT,Gene-PROT
97,5364,5364,KDR-PROT,Gene-PROT
98,5368,5368,KIT-PROT,Gene-PROT
99,5369,5369,KITLG-PROT,Gene-PROT
100,5373,5373,KRAS-PROT,Gene-PROT
101,5403,5403,KSR1-PROT,Gene-PROT
102,5404,5404,KSR2-PROT,Gene-PROT
103,5422,5422,LAT-PROT,Gene-PROT
104,5489,5489,MAP2K1-PROT,Gene-PROT
105,5490,5490,MAP2K2-PROT,Gene-PROT
106,5513,5513,MAPK1-PROT,Gene-PROT
107,5514,5514,MAPK10-PROT,Gene-PROT
108,5520,5520,MAPK3-PROT,Gene-PROT
109,5524,5524,MAPK8-PROT,Gene-PROT
110,5528,5528,MAPK9-PROT,Gene-PROT
111,5565,5565,MET-PROT,Gene-PROT
112,5587,5587,MRAS-PROT,Gene-PROT
113,5626,5626,NF1-PROT,Gene-PROT
114,5632,5632,NFKB1-PROT,Gene-PROT
115,5637,5637,NGF-PROT,Gene-PROT
116,5638,5638,NGFR-PROT,Gene-PROT
117,5674,5674,NRAS-PROT,Gene-PROT
118,5681,5681,NTF3-PROT,Gene-PROT
119,5682,5682,NTF4-PROT,Gene-PROT
120,5683,5683,NTRK1-PROT,Gene-PROT
121,5684,5684,NTRK2-PROT,Gene-PROT
122,5708,5708,PAK1-PROT,Gene-PROT
123,5709,5709,PAK2-PROT,Gene-PROT
124,5710,5710,PAK3-PROT,Gene-PROT
125,5711,5711,PAK4-PROT,Gene-PROT
126,5712,5712,PAK5-PROT,Gene-PROT
127,5713,5713,PAK6-PROT,Gene-PROT
128,5734,5734,PDGFA-PROT,Gene-PROT
129,5735,5735,PDGFB-PROT,Gene-PROT
130,5736,5736,PDGFC-PROT,Gene-PROT
131,5737,5737,PDGFD-PROT,Gene-PROT
132,5738,5738,PDGFRA-PROT,Gene-PROT
133,5739,5739,PDGFRB-PROT,Gene-PROT
134,5760,5760,PGF-PROT,Gene-PROT
135,5778,5778,PIK3CA-PROT,Gene-PROT
136,5779,5779,PIK3CB-PROT,Gene-PROT
137,5780,5780,PIK3CD-PROT,Gene-PROT
138,5782,5782,PIK3R1-PROT,Gene-PROT
139,5783,5783,PIK3R2-PROT,Gene-PROT
140,5784,5784,PIK3R3-PROT,Gene-PROT
141,5799,5799,PLA1A-PROT,Gene-PROT
142,5800,5800,PLA2G10-PROT,Gene-PROT
143,5801,5801,PLA2G12A-PROT,Gene-PROT
144,5802,5802,PLA2G12B-PROT,Gene-PROT
145,5803,5803,PLA2G1B-PROT,Gene-PROT
146,5804,5804,PLA2G2A-PROT,Gene-PROT
147,5805,5805,PLA2G2C-PROT,Gene-PROT
148,5806,5806,PLA2G2D-PROT,Gene-PROT
149,5807,5807,PLA2G2E-PROT,Gene-PROT
150,5808,5808,PLA2G2F-PROT,Gene-PROT
151,5809,5809,PLA2G3-PROT,Gene-PROT
152,5810,5810,PLA2G4A-PROT,Gene-PROT
153,5811,5811,PLA2G4B-PROT,Gene-PROT
154,5812,5812,PLA2G4C-PROT,Gene-PROT
155,5813,5813,PLA2G4D-PROT,Gene-PROT
156,5814,5814,PLA2G4E-PROT,Gene-PROT
157,5815,5815,PLA2G4F-PROT,Gene-PROT
158,5816,5816,PLA2G5-PROT,Gene-PROT
159,5817,5817,PLA2G6-PROT,Gene-PROT
160,5818,5818,PLAAT3-PROT,Gene-PROT
161,5828,5828,PLCE1-PROT,Gene-PROT
162,5829,5829,PLCG1-PROT,Gene-PROT
163,5830,5830,PLCG2-PROT,Gene-PROT
164,5832,5832,PLD1-PROT,Gene-PROT
165,5833,5833,PLD2-PROT,Gene-PROT
166,5906,5906,PRKACA-PROT,Gene-PROT
167,5907,5907,PRKACB-PROT,Gene-PROT
168,5908,5908,PRKACG-PROT,Gene-PROT
169,5950,5950,PTPN11-PROT,Gene-PROT
170,5969,5969,RAB5A-PROT,Gene-PROT
171,5970,5970,RAB5B-PROT,Gene-PROT
172,5971,5971,RAB5C-PROT,Gene-PROT
173,5973,5973,RAC1-PROT,Gene-PROT
174,5974,5974,RAC2-PROT,Gene-PROT
175,5975,5975,RAC3-PROT,Gene-PROT
176,5976,5976,RAF1-PROT,Gene-PROT
177,5979,5979,RALA-PROT,Gene-PROT
178,5980,5980,RALB-PROT,Gene-PROT
179,5981,5981,RALBP1-PROT,Gene-PROT
180,5982,5982,RALGDS-PROT,Gene-PROT
181,5983,5983,RAP1A-PROT,Gene-PROT
182,5984,5984,RAP1B-PROT,Gene-PROT
183,5990,5990,RAPGEF5-PROT,Gene-PROT
184,5993,5993,RASA1-PROT,Gene-PROT
185,5994,5994,RASA2-PROT,Gene-PROT
186,5995,5995,RASA3-PROT,Gene-PROT
187,5996,5996,RASA4-PROT,Gene-PROT
188,5997,5997,RASA4B-PROT,Gene-PROT
189,5998,5998,RASAL1-PROT,Gene-PROT
190,5999,5999,RASAL2-PROT,Gene-PROT
191,6000,6000,RASAL3-PROT,Gene-PROT
192,6001,6001,RASGRF1-PROT,Gene-PROT
193,6002,6002,RASGRF2-PROT,Gene-PROT
194,6003,6003,RASGRP1-PROT,Gene-PROT
195,6004,6004,RASGRP2-PROT,Gene-PROT
196,6005,6005,RASGRP3-PROT,Gene-PROT
197,6006,6006,RASGRP4-PROT,Gene-PROT
198,6007,6007,RASSF1-PROT,Gene-PROT
199,6010,6010,RASSF5-PROT,Gene-PROT
200,6021,6021,REL-PROT,Gene-PROT
201,6022,6022,RELA-PROT,Gene-PROT
202,6027,6027,RGL1-PROT,Gene-PROT
203,6028,6028,RGL2-PROT,Gene-PROT
204,6034,6034,RHOA-PROT,Gene-PROT
205,6037,6037,RIN1-PROT,Gene-PROT
206,6068,6068,RRAS-PROT,Gene-PROT
207,6069,6069,RRAS2-PROT,Gene-PROT
208,6126,6126,SHC1-PROT,Gene-PROT
209,6127,6127,SHC2-PROT,Gene-PROT
210,6128,6128,SHC3-PROT,Gene-PROT
211,6129,6129,SHC4-PROT,Gene-PROT
212,6132,6132,SHOC2-PROT,Gene-PROT
213,6187,6187,SOS1-PROT,Gene-PROT
214,6188,6188,SOS2-PROT,Gene-PROT
215,6222,6222,STK4-PROT,Gene-PROT
216,6230,6230,SYNGAP1-PROT,Gene-PROT
217,6244,6244,TBK1-PROT,Gene-PROT
218,6262,6262,TEK-PROT,Gene-PROT
219,6269,6269,TGFA-PROT,Gene-PROT
220,6287,6287,TIAM1-PROT,Gene-PROT
221,6380,6380,VEGFA-PROT,Gene-PROT
222,6381,6381,VEGFB-PROT,Gene-PROT
223,6382,6382,VEGFC-PROT,Gene-PROT
224,6383,6383,VEGFD-PROT,Gene-PROT
225,6426,6426,ZAP70-PROT,Gene-PROT
226,4288,4288,ABL1-PROT,Gene-PROT
227,4289,4289,ABL2-PROT,Gene-PROT
228,4343,4343,AFDN-PROT,Gene-PROT
229,4353,4353,AKT1-PROT,Gene-PROT
230,4355,4355,AKT2-PROT,Gene-PROT
231,4356,4356,AKT3-PROT,Gene-PROT
232,4364,4364,ANGPT1-PROT,Gene-PROT
233,4365,4365,ANGPT2-PROT,Gene-PROT
234,4366,4366,ANGPT4-PROT,Gene-PROT
235,4386,4386,ARF6-PROT,Gene-PROT
236,4440,4440,BAD-PROT,Gene-PROT
237,4449,4449,BCL2L1-PROT,Gene-PROT
238,4455,4455,BDNF-PROT,Gene-PROT
239,4478,4478,BRAP-PROT,Gene-PROT
240,4484,4484,BUB1B-PAK6-PROT,Gene-PROT
241,4514,4514,CALM1-PROT,Gene-PROT
242,4515,4515,CALM2-PROT,Gene-PROT
243,4516,4516,CALM3-PROT,Gene-PROT
244,4517,4517,CALML3-PROT,Gene-PROT
245,4518,4518,CALML4-PROT,Gene-PROT
246,4519,4519,CALML5-PROT,Gene-PROT
247,4520,4520,CALML6-PROT,Gene-PROT
248,4627,4627,CDC42-PROT,Gene-PROT
249,4654,4654,CHUK-PROT,Gene-PROT
250,4709,4709,CSF1-PROT,Gene-PROT
251,4710,4710,CSF1R-PROT,Gene-PROT
252,4855,4855,EFNA1-PROT,Gene-PROT
253,4856,4856,EFNA2-PROT,Gene-PROT
254,4857,4857,EFNA3-PROT,Gene-PROT
255,4858,4858,EFNA4-PROT,Gene-PROT
256,4859,4859,EFNA5-PROT,Gene-PROT
257,4860,4860,EGF-PROT,Gene-PROT
258,4861,4861,EGFR-PROT,Gene-PROT
259,4877,4877,ELK1-PROT,Gene-PROT
260,4888,4888,EPHA2-PROT,Gene-PROT
261,4899,4899,ETS1-PROT,Gene-PROT
262,4900,4900,ETS2-PROT,Gene-PROT
263,4904,4904,EXOC2-PROT,Gene-PROT
264,4917,4917,FASLG-PROT,Gene-PROT
265,4929,4929,FGF1-PROT,Gene-PROT
266,4930,4930,FGF10-PROT,Gene-PROT
267,4931,4931,FGF16-PROT,Gene-PROT
268,4932,4932,FGF17-PROT,Gene-PROT
269,4933,4933,FGF18-PROT,Gene-PROT
270,4934,4934,FGF19-PROT,Gene-PROT
271,4935,4935,FGF2-PROT,Gene-PROT
272,4936,4936,FGF20-PROT,Gene-PROT
273,4937,4937,FGF21-PROT,Gene-PROT
274,4938,4938,FGF22-PROT,Gene-PROT
275,4939,4939,FGF23-PROT,Gene-PROT
276,4940,4940,FGF3-PROT,Gene-PROT
277,4941,4941,FGF4-PROT,Gene-PROT
278,4942,4942,FGF5-PROT,Gene-PROT
279,4943,4943,FGF6-PROT,Gene-PROT
280,4944,4944,FGF7-PROT,Gene-PROT
281,4945,4945,FGF8-PROT,Gene-PROT
282,4946,4946,FGF9-PROT,Gene-PROT
283,4947,4947,FGFR1-PROT,Gene-PROT
284,4948,4948,FGFR2-PROT,Gene-PROT
285,4949,4949,FGFR3-PROT,Gene-PROT
286,4950,4950,FGFR4-PROT,Gene-PROT
287,4959,4959,FLT1-PROT,Gene-PROT
288,4960,4960,FLT3-PROT,Gene-PROT
289,4961,4961,FLT3LG-PROT,Gene-PROT
290,4962,4962,FLT4-PROT,Gene-PROT
291,4972,4972,FOXO4-PROT,Gene-PROT
292,5000,5000,GAB1-PROT,Gene-PROT
293,5001,5001,GAB2-PROT,Gene-PROT
294,5047,5047,GNB1-PROT,Gene-PROT
295,5048,5048,GNB2-PROT,Gene-PROT
296,5049,5049,GNB3-PROT,Gene-PROT
297,5050,5050,GNB4-PROT,Gene-PROT
298,5051,5051,GNB5-PROT,Gene-PROT
299,5052,5052,GNG10-PROT,Gene-PROT
300,5053,5053,GNG11-PROT,Gene-PROT
301,5054,5054,GNG12-PROT,Gene-PROT
302,5055,5055,GNG13-PROT,Gene-PROT
303,5056,5056,GNG2-PROT,Gene-PROT
304,5057,5057,GNG3-PROT,Gene-PROT
305,5058,5058,GNG4-PROT,Gene-PROT
306,5059,5059,GNG5-PROT,Gene-PROT
307,5060,5060,GNG7-PROT,Gene-PROT
308,5061,5061,GNG8-PROT,Gene-PROT
309,5062,5062,GNGT1-PROT,Gene-PROT
310,5063,5063,GNGT2-PROT,Gene-PROT
311,5074,5074,GRB2-PROT,Gene-PROT
312,5133,5133,HGF-PROT,Gene-PROT
313,5151,5151,HRAS-PROT,Gene-PROT
314,5176,5176,HTR7-PROT,Gene-PROT
315,5212,5212,IGF1-PROT,Gene-PROT
316,5213,5213,IGF1R-PROT,Gene-PROT
317,5214,5214,IGF2-PROT,Gene-PROT
