Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4353,4353,AKT1-PROT,Gene-PROT
1,4355,4355,AKT2-PROT,Gene-PROT
2,4356,4356,AKT3-PROT,Gene-PROT
3,4395,4395,ATF2-PROT,Gene-PROT
4,4396,4396,ATF4-PROT,Gene-PROT
5,4397,4397,ATF6B-PROT,Gene-PROT
6,4441,4441,BAG4-PROT,Gene-PROT
7,4460,4460,BIRC2-PROT,Gene-PROT
8,4461,4461,BIRC3-PROT,Gene-PROT
9,4540,4540,CASP10-PROT,Gene-PROT
10,4542,4542,CASP3-PROT,Gene-PROT
11,4545,4545,CASP7-PROT,Gene-PROT
12,4546,4546,CASP8-PROT,Gene-PROT
13,4639,4639,CEBPB-PROT,Gene-PROT
14,4641,4641,CFLAR-PROT,Gene-PROT
15,4654,4654,CHUK-PROT,Gene-PROT
16,4697,4697,CREB1-PROT,Gene-PROT
17,4698,4698,CREB3-PROT,Gene-PROT
18,4699,4699,CREB3L1-PROT,Gene-PROT
19,4700,4700,CREB3L2-PROT,Gene-PROT
20,4701,4701,CREB3L3-PROT,Gene-PROT
21,4702,4702,CREB3L4-PROT,Gene-PROT
22,4703,4703,CREB5-PROT,Gene-PROT
23,4783,4783,DAB2IP-PROT,Gene-PROT
24,4814,4814,DNM1L-PROT,Gene-PROT
25,4913,4913,FADD-PROT,Gene-PROT
26,4967,4967,FOS-PROT,Gene-PROT
27,5201,5201,IFNB1-PROT,Gene-PROT
28,5217,5217,IKBKB-PROT,Gene-PROT
29,5219,5219,IKBKG-PROT,Gene-PROT
30,5298,5298,IRF1-PROT,Gene-PROT
31,5307,5307,ITCH-PROT,Gene-PROT
32,5344,5344,JUN-PROT,Gene-PROT
33,5474,5474,LTA-PROT,Gene-PROT
34,5489,5489,MAP2K1-PROT,Gene-PROT
35,5491,5491,MAP2K3-PROT,Gene-PROT
36,5492,5492,MAP2K4-PROT,Gene-PROT
37,5494,5494,MAP2K6-PROT,Gene-PROT
38,5495,5495,MAP2K7-PROT,Gene-PROT
39,5500,5500,MAP3K14-PROT,Gene-PROT
40,5505,5505,MAP3K5-PROT,Gene-PROT
41,5507,5507,MAP3K7-PROT,Gene-PROT
42,5508,5508,MAP3K8-PROT,Gene-PROT
43,5513,5513,MAPK1-PROT,Gene-PROT
44,5514,5514,MAPK10-PROT,Gene-PROT
45,5515,5515,MAPK11-PROT,Gene-PROT
46,5516,5516,MAPK12-PROT,Gene-PROT
47,5517,5517,MAPK13-PROT,Gene-PROT
48,5518,5518,MAPK14-PROT,Gene-PROT
49,5520,5520,MAPK3-PROT,Gene-PROT
50,5524,5524,MAPK8-PROT,Gene-PROT
51,5528,5528,MAPK9-PROT,Gene-PROT
52,5573,5573,MLKL-PROT,Gene-PROT
53,5632,5632,NFKB1-PROT,Gene-PROT
54,5634,5634,NFKBIA-PROT,Gene-PROT
55,5759,5759,PGAM5-PROT,Gene-PROT
56,5778,5778,PIK3CA-PROT,Gene-PROT
57,5779,5779,PIK3CB-PROT,Gene-PROT
58,5780,5780,PIK3CD-PROT,Gene-PROT
59,5782,5782,PIK3R1-PROT,Gene-PROT
60,5783,5783,PIK3R2-PROT,Gene-PROT
61,5784,5784,PIK3R3-PROT,Gene-PROT
62,6022,6022,RELA-PROT,Gene-PROT
63,6038,6038,RIPK1-PROT,Gene-PROT
64,6040,6040,RIPK3-PROT,Gene-PROT
65,6058,6058,RPS6KA4-PROT,Gene-PROT
66,6059,6059,RPS6KA5-PROT,Gene-PROT
67,6311,6311,TNF-PROT,Gene-PROT
68,6317,6317,TNFRSF1A-PROT,Gene-PROT
69,6318,6318,TNFRSF1B-PROT,Gene-PROT
70,6339,6339,TRADD-PROT,Gene-PROT
71,6341,6341,TRAF2-PROT,Gene-PROT
72,6345,6345,TRAF5-PROT,Gene-PROT
73,4353,4353,AKT1-PROT,Gene-PROT
74,4355,4355,AKT2-PROT,Gene-PROT
75,4356,4356,AKT3-PROT,Gene-PROT
76,4395,4395,ATF2-PROT,Gene-PROT
77,4396,4396,ATF4-PROT,Gene-PROT
78,4397,4397,ATF6B-PROT,Gene-PROT
79,4441,4441,BAG4-PROT,Gene-PROT
80,4460,4460,BIRC2-PROT,Gene-PROT
81,4461,4461,BIRC3-PROT,Gene-PROT
82,4540,4540,CASP10-PROT,Gene-PROT
83,4542,4542,CASP3-PROT,Gene-PROT
84,4545,4545,CASP7-PROT,Gene-PROT
85,4546,4546,CASP8-PROT,Gene-PROT
86,4639,4639,CEBPB-PROT,Gene-PROT
87,4641,4641,CFLAR-PROT,Gene-PROT
88,4654,4654,CHUK-PROT,Gene-PROT
89,4697,4697,CREB1-PROT,Gene-PROT
90,4698,4698,CREB3-PROT,Gene-PROT
91,4699,4699,CREB3L1-PROT,Gene-PROT
92,4700,4700,CREB3L2-PROT,Gene-PROT
93,4701,4701,CREB3L3-PROT,Gene-PROT
94,4702,4702,CREB3L4-PROT,Gene-PROT
95,4703,4703,CREB5-PROT,Gene-PROT
96,4783,4783,DAB2IP-PROT,Gene-PROT
97,4814,4814,DNM1L-PROT,Gene-PROT
98,4913,4913,FADD-PROT,Gene-PROT
99,4967,4967,FOS-PROT,Gene-PROT
100,5201,5201,IFNB1-PROT,Gene-PROT
101,5217,5217,IKBKB-PROT,Gene-PROT
102,5219,5219,IKBKG-PROT,Gene-PROT
103,5298,5298,IRF1-PROT,Gene-PROT
104,5307,5307,ITCH-PROT,Gene-PROT
105,5344,5344,JUN-PROT,Gene-PROT
106,5474,5474,LTA-PROT,Gene-PROT
107,5489,5489,MAP2K1-PROT,Gene-PROT
108,5491,5491,MAP2K3-PROT,Gene-PROT
109,5492,5492,MAP2K4-PROT,Gene-PROT
110,5494,5494,MAP2K6-PROT,Gene-PROT
111,5495,5495,MAP2K7-PROT,Gene-PROT
112,5500,5500,MAP3K14-PROT,Gene-PROT
113,5505,5505,MAP3K5-PROT,Gene-PROT
114,5507,5507,MAP3K7-PROT,Gene-PROT
115,5508,5508,MAP3K8-PROT,Gene-PROT
116,5513,5513,MAPK1-PROT,Gene-PROT
117,5514,5514,MAPK10-PROT,Gene-PROT
118,5515,5515,MAPK11-PROT,Gene-PROT
119,5516,5516,MAPK12-PROT,Gene-PROT
120,5517,5517,MAPK13-PROT,Gene-PROT
121,5518,5518,MAPK14-PROT,Gene-PROT
122,5520,5520,MAPK3-PROT,Gene-PROT
123,5524,5524,MAPK8-PROT,Gene-PROT
124,5528,5528,MAPK9-PROT,Gene-PROT
125,5573,5573,MLKL-PROT,Gene-PROT
126,5632,5632,NFKB1-PROT,Gene-PROT
127,5634,5634,NFKBIA-PROT,Gene-PROT
128,5759,5759,PGAM5-PROT,Gene-PROT
129,5778,5778,PIK3CA-PROT,Gene-PROT
130,5779,5779,PIK3CB-PROT,Gene-PROT
131,5780,5780,PIK3CD-PROT,Gene-PROT
132,5782,5782,PIK3R1-PROT,Gene-PROT
133,5783,5783,PIK3R2-PROT,Gene-PROT
134,5784,5784,PIK3R3-PROT,Gene-PROT
135,6022,6022,RELA-PROT,Gene-PROT
136,6038,6038,RIPK1-PROT,Gene-PROT
137,6040,6040,RIPK3-PROT,Gene-PROT
138,6058,6058,RPS6KA4-PROT,Gene-PROT
139,6059,6059,RPS6KA5-PROT,Gene-PROT
140,6311,6311,TNF-PROT,Gene-PROT
141,6317,6317,TNFRSF1A-PROT,Gene-PROT
142,6318,6318,TNFRSF1B-PROT,Gene-PROT
143,6339,6339,TRADD-PROT,Gene-PROT
144,6341,6341,TRAF2-PROT,Gene-PROT
145,6345,6345,TRAF5-PROT,Gene-PROT
146,4353,4353,AKT1-PROT,Gene-PROT
147,4355,4355,AKT2-PROT,Gene-PROT
148,4356,4356,AKT3-PROT,Gene-PROT
149,4395,4395,ATF2-PROT,Gene-PROT
150,4396,4396,ATF4-PROT,Gene-PROT
151,4397,4397,ATF6B-PROT,Gene-PROT
152,4441,4441,BAG4-PROT,Gene-PROT
153,4460,4460,BIRC2-PROT,Gene-PROT
154,4461,4461,BIRC3-PROT,Gene-PROT
155,4540,4540,CASP10-PROT,Gene-PROT
156,4542,4542,CASP3-PROT,Gene-PROT
157,4545,4545,CASP7-PROT,Gene-PROT
158,4546,4546,CASP8-PROT,Gene-PROT
159,4639,4639,CEBPB-PROT,Gene-PROT
160,4641,4641,CFLAR-PROT,Gene-PROT
161,4654,4654,CHUK-PROT,Gene-PROT
162,4697,4697,CREB1-PROT,Gene-PROT
163,4698,4698,CREB3-PROT,Gene-PROT
164,4699,4699,CREB3L1-PROT,Gene-PROT
165,4700,4700,CREB3L2-PROT,Gene-PROT
166,4701,4701,CREB3L3-PROT,Gene-PROT
167,4702,4702,CREB3L4-PROT,Gene-PROT
168,4703,4703,CREB5-PROT,Gene-PROT
169,4783,4783,DAB2IP-PROT,Gene-PROT
170,4814,4814,DNM1L-PROT,Gene-PROT
171,4913,4913,FADD-PROT,Gene-PROT
172,4967,4967,FOS-PROT,Gene-PROT
173,5201,5201,IFNB1-PROT,Gene-PROT
174,5217,5217,IKBKB-PROT,Gene-PROT
175,5219,5219,IKBKG-PROT,Gene-PROT
176,5298,5298,IRF1-PROT,Gene-PROT
177,5307,5307,ITCH-PROT,Gene-PROT
178,5344,5344,JUN-PROT,Gene-PROT
179,5474,5474,LTA-PROT,Gene-PROT
180,5489,5489,MAP2K1-PROT,Gene-PROT
181,5491,5491,MAP2K3-PROT,Gene-PROT
182,5492,5492,MAP2K4-PROT,Gene-PROT
183,5494,5494,MAP2K6-PROT,Gene-PROT
184,5495,5495,MAP2K7-PROT,Gene-PROT
185,5500,5500,MAP3K14-PROT,Gene-PROT
186,5505,5505,MAP3K5-PROT,Gene-PROT
187,5507,5507,MAP3K7-PROT,Gene-PROT
188,5508,5508,MAP3K8-PROT,Gene-PROT
189,5513,5513,MAPK1-PROT,Gene-PROT
190,5514,5514,MAPK10-PROT,Gene-PROT
191,5515,5515,MAPK11-PROT,Gene-PROT
192,5516,5516,MAPK12-PROT,Gene-PROT
193,5517,5517,MAPK13-PROT,Gene-PROT
194,5518,5518,MAPK14-PROT,Gene-PROT
195,5520,5520,MAPK3-PROT,Gene-PROT
196,5524,5524,MAPK8-PROT,Gene-PROT
197,5528,5528,MAPK9-PROT,Gene-PROT
198,5573,5573,MLKL-PROT,Gene-PROT
199,5632,5632,NFKB1-PROT,Gene-PROT
200,5634,5634,NFKBIA-PROT,Gene-PROT
201,5759,5759,PGAM5-PROT,Gene-PROT
202,5778,5778,PIK3CA-PROT,Gene-PROT
203,5779,5779,PIK3CB-PROT,Gene-PROT
204,5780,5780,PIK3CD-PROT,Gene-PROT
205,5782,5782,PIK3R1-PROT,Gene-PROT
206,5783,5783,PIK3R2-PROT,Gene-PROT
207,5784,5784,PIK3R3-PROT,Gene-PROT
208,6022,6022,RELA-PROT,Gene-PROT
209,6038,6038,RIPK1-PROT,Gene-PROT
