Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4295,4295,ACOX1-PROT,Gene-PROT
1,4297,4297,ACOX3-PROT,Gene-PROT
2,4314,4314,ADCY1-PROT,Gene-PROT
3,4316,4316,ADCY2-PROT,Gene-PROT
4,4317,4317,ADCY3-PROT,Gene-PROT
5,4318,4318,ADCY4-PROT,Gene-PROT
6,4319,4319,ADCY5-PROT,Gene-PROT
7,4320,4320,ADCY6-PROT,Gene-PROT
8,4321,4321,ADCY7-PROT,Gene-PROT
9,4322,4322,ADCY8-PROT,Gene-PROT
10,4323,4323,ADCY9-PROT,Gene-PROT
11,4324,4324,ADCYAP1-PROT,Gene-PROT
12,4325,4325,ADCYAP1R1-PROT,Gene-PROT
13,4330,4330,ADORA1-PROT,Gene-PROT
14,4331,4331,ADORA2A-PROT,Gene-PROT
15,4340,4340,ADRB1-PROT,Gene-PROT
16,4341,4341,ADRB2-PROT,Gene-PROT
17,4343,4343,AFDN-PROT,Gene-PROT
18,4353,4353,AKT1-PROT,Gene-PROT
19,4355,4355,AKT2-PROT,Gene-PROT
20,4356,4356,AKT3-PROT,Gene-PROT
21,4360,4360,AMH-PROT,Gene-PROT
22,4383,4383,ARAP3-PROT,Gene-PROT
23,4402,4402,ATP1A1-PROT,Gene-PROT
24,4403,4403,ATP1A2-PROT,Gene-PROT
25,4404,4404,ATP1A3-PROT,Gene-PROT
26,4405,4405,ATP1A4-PROT,Gene-PROT
27,4406,4406,ATP1B1-PROT,Gene-PROT
28,4407,4407,ATP1B2-PROT,Gene-PROT
29,4408,4408,ATP1B3-PROT,Gene-PROT
30,4409,4409,ATP1B4-PROT,Gene-PROT
31,4413,4413,ATP2B1-PROT,Gene-PROT
32,4414,4414,ATP2B2-PROT,Gene-PROT
33,4415,4415,ATP2B3-PROT,Gene-PROT
34,4416,4416,ATP2B4-PROT,Gene-PROT
35,4440,4440,BAD-PROT,Gene-PROT
36,4455,4455,BDNF-PROT,Gene-PROT
37,4477,4477,BRAF-PROT,Gene-PROT
38,4489,4489,CACNA1C-PROT,Gene-PROT
39,4490,4490,CACNA1D-PROT,Gene-PROT
40,4492,4492,CACNA1F-PROT,Gene-PROT
41,4496,4496,CACNA1S-PROT,Gene-PROT
42,4514,4514,CALM1-PROT,Gene-PROT
43,4515,4515,CALM2-PROT,Gene-PROT
44,4516,4516,CALM3-PROT,Gene-PROT
45,4517,4517,CALML3-PROT,Gene-PROT
46,4518,4518,CALML4-PROT,Gene-PROT
47,4519,4519,CALML5-PROT,Gene-PROT
48,4520,4520,CALML6-PROT,Gene-PROT
49,4524,4524,CAMK2A-PROT,Gene-PROT
50,4525,4525,CAMK2B-PROT,Gene-PROT
51,4526,4526,CAMK2D-PROT,Gene-PROT
52,4527,4527,CAMK2G-PROT,Gene-PROT
53,4528,4528,CAMK4-PROT,Gene-PROT
54,4642,4642,CFTR-PROT,Gene-PROT
55,4643,4643,CGA-PROT,Gene-PROT
56,4649,4649,CHRM1-PROT,Gene-PROT
57,4650,4650,CHRM2-PROT,Gene-PROT
58,4697,4697,CREB1-PROT,Gene-PROT
59,4698,4698,CREB3-PROT,Gene-PROT
60,4699,4699,CREB3L1-PROT,Gene-PROT
61,4700,4700,CREB3L2-PROT,Gene-PROT
