Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4313,4313,ADAM17-PROT,Gene-PROT
1,4373,4373,APH1A-PROT,Gene-PROT
2,4374,4374,APH1B-PROT,Gene-PROT
3,4431,4431,ATXN1-PROT,Gene-PROT
4,4432,4432,ATXN1L-PROT,Gene-PROT
5,4655,4655,CIR1-PROT,Gene-PROT
6,4704,4704,CREBBP-PROT,Gene-PROT
7,4730,4730,CTBP1-PROT,Gene-PROT
8,4731,4731,CTBP2-PROT,Gene-PROT
9,4811,4811,DLL1-PROT,Gene-PROT
10,4812,4812,DLL3-PROT,Gene-PROT
11,4813,4813,DLL4-PROT,Gene-PROT
12,4820,4820,DTX1-PROT,Gene-PROT
13,4821,4821,DTX2-PROT,Gene-PROT
14,4822,4822,DTX3-PROT,Gene-PROT
15,4823,4823,DTX3L-PROT,Gene-PROT
16,4824,4824,DTX4-PROT,Gene-PROT
17,4836,4836,DVL1-PROT,Gene-PROT
18,4837,4837,DVL2-PROT,Gene-PROT
19,4838,4838,DVL3-PROT,Gene-PROT
20,4887,4887,EP300-PROT,Gene-PROT
21,5123,5123,HDAC1-PROT,Gene-PROT
22,5124,5124,HDAC2-PROT,Gene-PROT
23,5128,5128,HES1-PROT,Gene-PROT
24,5129,5129,HES5-PROT,Gene-PROT
25,5130,5130,HEY1-PROT,Gene-PROT
26,5131,5131,HEY2-PROT,Gene-PROT
27,5132,5132,HEYL-PROT,Gene-PROT
28,5338,5338,JAG1-PROT,Gene-PROT
29,5339,5339,JAG2-PROT,Gene-PROT
30,5346,5346,KAT2A-PROT,Gene-PROT
31,5347,5347,KAT2B-PROT,Gene-PROT
32,5438,5438,LFNG-PROT,Gene-PROT
33,5486,5486,MAML1-PROT,Gene-PROT
34,5487,5487,MAML2-PROT,Gene-PROT
35,5488,5488,MAML3-PROT,Gene-PROT
36,5568,5568,MFNG-PROT,Gene-PROT
37,5622,5622,NCOR2-PROT,Gene-PROT
38,5623,5623,NCSTN-PROT,Gene-PROT
39,5656,5656,NOTCH1-PROT,Gene-PROT
40,5657,5657,NOTCH2-PROT,Gene-PROT
41,5658,5658,NOTCH3-PROT,Gene-PROT
42,5659,5659,NOTCH4-PROT,Gene-PROT
43,5687,5687,NUMB-PROT,Gene-PROT
44,5688,5688,NUMBL-PROT,Gene-PROT
45,5933,5933,PSEN1-PROT,Gene-PROT
46,5934,5934,PSEN2-PROT,Gene-PROT
47,5935,5935,PSENEN-PROT,Gene-PROT
48,5940,5940,PTCRA-PROT,Gene-PROT
49,6015,6015,RBPJ-PROT,Gene-PROT
50,6016,6016,RBPJL-PROT,Gene-PROT
51,6026,6026,RFNG-PROT,Gene-PROT
52,6176,6176,SNW1-PROT,Gene-PROT
53,6293,6293,TLE1-PROT,Gene-PROT
54,6294,6294,TLE2-PROT,Gene-PROT
55,6295,6295,TLE3-PROT,Gene-PROT
56,6296,6296,TLE4-PROT,Gene-PROT
57,6297,6297,TLE6-PROT,Gene-PROT
58,6298,6298,TLE7-PROT,Gene-PROT
59,4313,4313,ADAM17-PROT,Gene-PROT
60,4373,4373,APH1A-PROT,Gene-PROT
61,4374,4374,APH1B-PROT,Gene-PROT
62,4431,4431,ATXN1-PROT,Gene-PROT
63,4432,4432,ATXN1L-PROT,Gene-PROT
