Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4314,4314,ADCY1-PROT,Gene-PROT
1,4316,4316,ADCY2-PROT,Gene-PROT
2,4317,4317,ADCY3-PROT,Gene-PROT
3,4318,4318,ADCY4-PROT,Gene-PROT
4,4319,4319,ADCY5-PROT,Gene-PROT
5,4320,4320,ADCY6-PROT,Gene-PROT
6,4321,4321,ADCY7-PROT,Gene-PROT
7,4322,4322,ADCY8-PROT,Gene-PROT
8,4323,4323,ADCY9-PROT,Gene-PROT
9,4348,4348,AGT-PROT,Gene-PROT
10,4349,4349,AGTR1-PROT,Gene-PROT
11,4353,4353,AKT1-PROT,Gene-PROT
12,4355,4355,AKT2-PROT,Gene-PROT
13,4356,4356,AKT3-PROT,Gene-PROT
14,4385,4385,ARF1-PROT,Gene-PROT
15,4386,4386,ARF6-PROT,Gene-PROT
16,4433,4433,AVP-PROT,Gene-PROT
17,4434,4434,AVPR1A-PROT,Gene-PROT
18,4435,4435,AVPR1B-PROT,Gene-PROT
19,4436,4436,AVPR2-PROT,Gene-PROT
20,4758,4758,CXCL8-PROT,Gene-PROT
21,4760,4760,CXCR1-PROT,Gene-PROT
22,4761,4761,CXCR2-PROT,Gene-PROT
23,4777,4777,CYTH1-PROT,Gene-PROT
24,4778,4778,CYTH2-PROT,Gene-PROT
25,4779,4779,CYTH3-PROT,Gene-PROT
26,4780,4780,CYTH4-PROT,Gene-PROT
27,4860,4860,EGF-PROT,Gene-PROT
28,4861,4861,EGFR-PROT,Gene-PROT
29,4906,4906,F2-PROT,Gene-PROT
30,4907,4907,F2R-PROT,Gene-PROT
31,4925,4925,FCER1A-PROT,Gene-PROT
32,4926,4926,FCER1G-PROT,Gene-PROT
33,4986,4986,FYN-PROT,Gene-PROT
34,5000,5000,GAB1-PROT,Gene-PROT
35,5001,5001,GAB2-PROT,Gene-PROT
36,5036,5036,GNA12-PROT,Gene-PROT
37,5037,5037,GNA13-PROT,Gene-PROT
38,5046,5046,GNAS-PROT,Gene-PROT
39,5074,5074,GRB2-PROT,Gene-PROT
40,5095,5095,GRM1-PROT,Gene-PROT
41,5096,5096,GRM2-PROT,Gene-PROT
42,5097,5097,GRM3-PROT,Gene-PROT
43,5098,5098,GRM4-PROT,Gene-PROT
44,5099,5099,GRM5-PROT,Gene-PROT
45,5100,5100,GRM6-PROT,Gene-PROT
46,5101,5101,GRM7-PROT,Gene-PROT
47,5102,5102,GRM8-PROT,Gene-PROT
48,5151,5151,HRAS-PROT,Gene-PROT
49,5287,5287,INS-PROT,Gene-PROT
50,5290,5290,INSR-PROT,Gene-PROT
51,5368,5368,KIT-PROT,Gene-PROT
52,5369,5369,KITLG-PROT,Gene-PROT
53,5373,5373,KRAS-PROT,Gene-PROT
54,5460,5460,LPAR1-PROT,Gene-PROT
55,5461,5461,LPAR2-PROT,Gene-PROT
56,5462,5462,LPAR3-PROT,Gene-PROT
57,5463,5463,LPAR4-PROT,Gene-PROT
58,5464,5464,LPAR5-PROT,Gene-PROT
59,5465,5465,LPAR6-PROT,Gene-PROT
60,5489,5489,MAP2K1-PROT,Gene-PROT
61,5490,5490,MAP2K2-PROT,Gene-PROT
62,5513,5513,MAPK1-PROT,Gene-PROT
63,5520,5520,MAPK3-PROT,Gene-PROT
64,5587,5587,MRAS-PROT,Gene-PROT
65,5588,5588,MS4A2-PROT,Gene-PROT
66,5592,5592,MTOR-PROT,Gene-PROT
67,5674,5674,NRAS-PROT,Gene-PROT
68,5734,5734,PDGFA-PROT,Gene-PROT
69,5735,5735,PDGFB-PROT,Gene-PROT
70,5736,5736,PDGFC-PROT,Gene-PROT
71,5737,5737,PDGFD-PROT,Gene-PROT
72,5738,5738,PDGFRA-PROT,Gene-PROT
73,5739,5739,PDGFRB-PROT,Gene-PROT
74,5778,5778,PIK3CA-PROT,Gene-PROT
75,5779,5779,PIK3CB-PROT,Gene-PROT
76,5780,5780,PIK3CD-PROT,Gene-PROT
77,5781,5781,PIK3CG-PROT,Gene-PROT
78,5782,5782,PIK3R1-PROT,Gene-PROT
79,5783,5783,PIK3R2-PROT,Gene-PROT
80,5784,5784,PIK3R3-PROT,Gene-PROT
81,5786,5786,PIK3R5-PROT,Gene-PROT
82,5787,5787,PIK3R6-PROT,Gene-PROT
83,5821,5821,PLCB1-PROT,Gene-PROT
84,5822,5822,PLCB2-PROT,Gene-PROT
85,5823,5823,PLCB3-PROT,Gene-PROT
86,5824,5824,PLCB4-PROT,Gene-PROT
87,5832,5832,PLD1-PROT,Gene-PROT
88,5833,5833,PLD2-PROT,Gene-PROT
89,5916,5916,PRKCA-PROT,Gene-PROT
90,5945,5945,PTGFR-PROT,Gene-PROT
91,5948,5948,PTK2B-PROT,Gene-PROT
92,5950,5950,PTPN11-PROT,Gene-PROT
93,5976,5976,RAF1-PROT,Gene-PROT
94,5979,5979,RALA-PROT,Gene-PROT
95,5980,5980,RALB-PROT,Gene-PROT
96,5982,5982,RALGDS-PROT,Gene-PROT
97,5988,5988,RAPGEF3-PROT,Gene-PROT
98,5989,5989,RAPGEF4-PROT,Gene-PROT
99,6033,6033,RHEB-PROT,Gene-PROT
100,6034,6034,RHOA-PROT,Gene-PROT
101,6068,6068,RRAS-PROT,Gene-PROT
102,6069,6069,RRAS2-PROT,Gene-PROT
103,6126,6126,SHC1-PROT,Gene-PROT
104,6127,6127,SHC2-PROT,Gene-PROT
105,6128,6128,SHC3-PROT,Gene-PROT
106,6129,6129,SHC4-PROT,Gene-PROT
107,6187,6187,SOS1-PROT,Gene-PROT
108,6188,6188,SOS2-PROT,Gene-PROT
109,6229,6229,SYK-PROT,Gene-PROT
110,6354,6354,TSC1-PROT,Gene-PROT
111,6355,6355,TSC2-PROT,Gene-PROT
112,4314,4314,ADCY1-PROT,Gene-PROT
113,4316,4316,ADCY2-PROT,Gene-PROT
114,4317,4317,ADCY3-PROT,Gene-PROT
115,4318,4318,ADCY4-PROT,Gene-PROT
116,4319,4319,ADCY5-PROT,Gene-PROT
117,4320,4320,ADCY6-PROT,Gene-PROT
118,4321,4321,ADCY7-PROT,Gene-PROT
119,4322,4322,ADCY8-PROT,Gene-PROT
120,4323,4323,ADCY9-PROT,Gene-PROT
121,4348,4348,AGT-PROT,Gene-PROT
122,4349,4349,AGTR1-PROT,Gene-PROT
123,4353,4353,AKT1-PROT,Gene-PROT
124,4355,4355,AKT2-PROT,Gene-PROT
125,4356,4356,AKT3-PROT,Gene-PROT
126,4385,4385,ARF1-PROT,Gene-PROT
127,4386,4386,ARF6-PROT,Gene-PROT
128,4433,4433,AVP-PROT,Gene-PROT
129,4434,4434,AVPR1A-PROT,Gene-PROT
130,4435,4435,AVPR1B-PROT,Gene-PROT
131,4436,4436,AVPR2-PROT,Gene-PROT
132,4758,4758,CXCL8-PROT,Gene-PROT
133,4760,4760,CXCR1-PROT,Gene-PROT
134,4761,4761,CXCR2-PROT,Gene-PROT
135,4777,4777,CYTH1-PROT,Gene-PROT
136,4778,4778,CYTH2-PROT,Gene-PROT
137,4779,4779,CYTH3-PROT,Gene-PROT
138,4780,4780,CYTH4-PROT,Gene-PROT
139,4860,4860,EGF-PROT,Gene-PROT
140,4861,4861,EGFR-PROT,Gene-PROT
141,4906,4906,F2-PROT,Gene-PROT
142,4907,4907,F2R-PROT,Gene-PROT
143,4925,4925,FCER1A-PROT,Gene-PROT
144,4926,4926,FCER1G-PROT,Gene-PROT
145,4986,4986,FYN-PROT,Gene-PROT
146,5000,5000,GAB1-PROT,Gene-PROT
147,5001,5001,GAB2-PROT,Gene-PROT
