Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4330,4330,ADORA1-PROT,Gene-PROT
1,4333,4333,ADORA3-PROT,Gene-PROT
2,4353,4353,AKT1-PROT,Gene-PROT
3,4355,4355,AKT2-PROT,Gene-PROT
4,4356,4356,AKT3-PROT,Gene-PROT
5,4443,4443,BAX-PROT,Gene-PROT
6,4447,4447,BCL2-PROT,Gene-PROT
7,4454,4454,BDKRB2-PROT,Gene-PROT
8,4459,4459,BID-PROT,Gene-PROT
9,4742,4742,CTSD-PROT,Gene-PROT
10,4925,4925,FCER1A-PROT,Gene-PROT
11,4926,4926,FCER1G-PROT,Gene-PROT
12,4986,4986,FYN-PROT,Gene-PROT
13,5001,5001,GAB2-PROT,Gene-PROT
14,5036,5036,GNA12-PROT,Gene-PROT
15,5037,5037,GNA13-PROT,Gene-PROT
16,5040,5040,GNAI1-PROT,Gene-PROT
17,5041,5041,GNAI2-PROT,Gene-PROT
18,5042,5042,GNAI3-PROT,Gene-PROT
19,5045,5045,GNAQ-PROT,Gene-PROT
20,5151,5151,HRAS-PROT,Gene-PROT
21,5372,5372,KNG1-PROT,Gene-PROT
22,5373,5373,KRAS-PROT,Gene-PROT
23,5489,5489,MAP2K1-PROT,Gene-PROT
24,5490,5490,MAP2K2-PROT,Gene-PROT
25,5505,5505,MAP3K5-PROT,Gene-PROT
26,5513,5513,MAPK1-PROT,Gene-PROT
27,5514,5514,MAPK10-PROT,Gene-PROT
28,5515,5515,MAPK11-PROT,Gene-PROT
29,5516,5516,MAPK12-PROT,Gene-PROT
30,5517,5517,MAPK13-PROT,Gene-PROT
31,5518,5518,MAPK14-PROT,Gene-PROT
32,5520,5520,MAPK3-PROT,Gene-PROT
33,5524,5524,MAPK8-PROT,Gene-PROT
34,5528,5528,MAPK9-PROT,Gene-PROT
35,5588,5588,MS4A2-PROT,Gene-PROT
36,5632,5632,NFKB1-PROT,Gene-PROT
37,5655,5655,NOS3-PROT,Gene-PROT
38,5674,5674,NRAS-PROT,Gene-PROT
39,5680,5680,NSMAF-PROT,Gene-PROT
40,5690,5690,OPRD1-PROT,Gene-PROT
41,5744,5744,PDPK1-PROT,Gene-PROT
42,5778,5778,PIK3CA-PROT,Gene-PROT
43,5779,5779,PIK3CB-PROT,Gene-PROT
44,5780,5780,PIK3CD-PROT,Gene-PROT
45,5782,5782,PIK3R1-PROT,Gene-PROT
46,5783,5783,PIK3R2-PROT,Gene-PROT
47,5784,5784,PIK3R3-PROT,Gene-PROT
48,5821,5821,PLCB1-PROT,Gene-PROT
49,5822,5822,PLCB2-PROT,Gene-PROT
50,5823,5823,PLCB3-PROT,Gene-PROT
51,5824,5824,PLCB4-PROT,Gene-PROT
52,5832,5832,PLD1-PROT,Gene-PROT
53,5833,5833,PLD2-PROT,Gene-PROT
54,5871,5871,PPP2CA-PROT,Gene-PROT
55,5872,5872,PPP2CB-PROT,Gene-PROT
56,5873,5873,PPP2R1A-PROT,Gene-PROT
57,5874,5874,PPP2R1B-PROT,Gene-PROT
58,5875,5875,PPP2R2A-PROT,Gene-PROT
59,5876,5876,PPP2R2B-PROT,Gene-PROT
60,5877,5877,PPP2R2C-PROT,Gene-PROT
61,5878,5878,PPP2R2D-PROT,Gene-PROT
62,5879,5879,PPP2R3A-PROT,Gene-PROT
63,5880,5880,PPP2R3B-PROT,Gene-PROT
64,5881,5881,PPP2R3C-PROT,Gene-PROT
65,5882,5882,PPP2R5A-PROT,Gene-PROT
66,5883,5883,PPP2R5B-PROT,Gene-PROT
67,5884,5884,PPP2R5C-PROT,Gene-PROT
68,5885,5885,PPP2R5D-PROT,Gene-PROT
69,5886,5886,PPP2R5E-PROT,Gene-PROT
70,5919,5919,PRKCE-PROT,Gene-PROT
71,5923,5923,PRKCZ-PROT,Gene-PROT
72,5941,5941,PTEN-PROT,Gene-PROT
73,5973,5973,RAC1-PROT,Gene-PROT
74,5974,5974,RAC2-PROT,Gene-PROT
75,5975,5975,RAC3-PROT,Gene-PROT
76,5976,5976,RAF1-PROT,Gene-PROT
77,6022,6022,RELA-PROT,Gene-PROT
78,6034,6034,RHOA-PROT,Gene-PROT
79,6049,6049,ROCK1-PROT,Gene-PROT
80,6050,6050,ROCK2-PROT,Gene-PROT
81,6092,6092,S1PR1-PROT,Gene-PROT
82,6093,6093,S1PR2-PROT,Gene-PROT
83,6094,6094,S1PR3-PROT,Gene-PROT
84,6095,6095,S1PR4-PROT,Gene-PROT
85,6096,6096,S1PR5-PROT,Gene-PROT
86,6172,6172,SMPD2-PROT,Gene-PROT
87,6194,6194,SPHK1-PROT,Gene-PROT
88,6195,6195,SPHK2-PROT,Gene-PROT
89,6311,6311,TNF-PROT,Gene-PROT
90,6317,6317,TNFRSF1A-PROT,Gene-PROT
91,6330,6330,TP53-PROT,Gene-PROT
