Sub_idx,Node_idx,Gene_num,Gene_name,NodeType
0,4351,4351,AIM2-PROT,Gene-PROT
1,4398,4398,ATG12-PROT,Gene-PROT
2,4399,4399,ATG16L1-PROT,Gene-PROT
3,4400,4400,ATG5-PROT,Gene-PROT
4,4447,4447,BCL2-PROT,Gene-PROT
5,4449,4449,BCL2L1-PROT,Gene-PROT
6,4460,4460,BIRC2-PROT,Gene-PROT
7,4461,4461,BIRC3-PROT,Gene-PROT
8,4480,4480,BRCC3-PROT,Gene-PROT
9,4530,4530,CAMP-PROT,Gene-PROT
10,4534,4534,CARD16-PROT,Gene-PROT
11,4535,4535,CARD18-PROT,Gene-PROT
12,4536,4536,CARD6-PROT,Gene-PROT
13,4537,4537,CARD8-PROT,Gene-PROT
14,4538,4538,CARD9-PROT,Gene-PROT
15,4539,4539,CASP1-PROT,Gene-PROT
16,4541,4541,CASP12-PROT,Gene-PROT
17,4543,4543,CASP4-PROT,Gene-PROT
18,4544,4544,CASP5-PROT,Gene-PROT
19,4546,4546,CASP8-PROT,Gene-PROT
20,4550,4550,CASR-PROT,Gene-PROT
21,4566,4566,CCL2-PROT,Gene-PROT
22,4578,4578,CCL5-PROT,Gene-PROT
23,4654,4654,CHUK-PROT,Gene-PROT
24,4741,4741,CTSB-PROT,Gene-PROT
25,4747,4747,CXCL1-PROT,Gene-PROT
26,4754,4754,CXCL2-PROT,Gene-PROT
27,4755,4755,CXCL3-PROT,Gene-PROT
28,4758,4758,CXCL8-PROT,Gene-PROT
29,4767,4767,CYBA-PROT,Gene-PROT
30,4768,4768,CYBB-PROT,Gene-PROT
31,4799,4799,DHX33-PROT,Gene-PROT
32,4814,4814,DNM1L-PROT,Gene-PROT
33,4894,4894,ERBIN-PROT,Gene-PROT
34,4913,4913,FADD-PROT,Gene-PROT
35,5002,5002,GABARAP-PROT,Gene-PROT
36,5003,5003,GABARAPL1-PROT,Gene-PROT
37,5004,5004,GABARAPL2-PROT,Gene-PROT
38,5071,5071,GPRC6A-PROT,Gene-PROT
39,5104,5104,GSDMD-PROT,Gene-PROT
40,5155,5155,HSP90AA1-PROT,Gene-PROT
41,5156,5156,HSP90AB1-PROT,Gene-PROT
42,5184,5184,IFI16-PROT,Gene-PROT
43,5186,5186,IFNA1-PROT,Gene-PROT
44,5187,5187,IFNA10-PROT,Gene-PROT
45,5188,5188,IFNA13-PROT,Gene-PROT
46,5189,5189,IFNA14-PROT,Gene-PROT
47,5190,5190,IFNA16-PROT,Gene-PROT
48,5191,5191,IFNA17-PROT,Gene-PROT
49,5192,5192,IFNA2-PROT,Gene-PROT
50,5193,5193,IFNA21-PROT,Gene-PROT
51,5194,5194,IFNA4-PROT,Gene-PROT
52,5195,5195,IFNA5-PROT,Gene-PROT
53,5196,5196,IFNA6-PROT,Gene-PROT
54,5197,5197,IFNA7-PROT,Gene-PROT
