Gene
ABL1-PROT
ABL2-PROT
ACAA1-PROT
ACACA-PROT
ACACB-PROT
ACADL-PROT
ACADM-PROT
ACOX1-PROT
ACOX2-PROT
ACOX3-PROT
ACSBG1-PROT
ACSBG2-PROT
ACSL1-PROT
ACSL3-PROT
ACSL4-PROT
ACSL5-PROT
ACSL6-PROT
ACTA2-PROT
ACTB-PROT
ACTG1-PROT
ACVR1-PROT
ACVR1B-PROT
ACVR1C-PROT
ACVR2A-PROT
ACVR2B-PROT
ADAM17-PROT
ADCY1-PROT
ADCY10-PROT
ADCY2-PROT
ADCY3-PROT
ADCY4-PROT
ADCY5-PROT
ADCY6-PROT
ADCY7-PROT
ADCY8-PROT
ADCY9-PROT
ADCYAP1-PROT
ADCYAP1R1-PROT
ADGRB1-PROT
ADIPOQ-PROT
ADIPOR1-PROT
ADIPOR2-PROT
ADORA1-PROT
ADORA2A-PROT
ADORA2B-PROT
ADORA3-PROT
ADRA1A-PROT
ADRA1B-PROT
ADRA1D-PROT
ADRA2A-PROT
ADRA2B-PROT
ADRA2C-PROT
ADRB1-PROT
ADRB2-PROT
ADRB3-PROT
AFDN-PROT
AFP-PROT
AGAP2-PROT
AGER-PROT
AGRP-PROT
AGT-PROT
AGTR1-PROT
AIFM2-PROT
AIM2-PROT
AJUBA-PROT
AKT1-PROT
AKT1S1-PROT
AKT2-PROT
AKT3-PROT
ALDOA-PROT
ALDOB-PROT
ALDOC-PROT
AMH-PROT
AMHR2-PROT
AMOT-PROT
ANAPC5-PROT
ANGPT1-PROT
ANGPT2-PROT
ANGPT4-PROT
ANGPTL4-PROT
AOX1-PROT
APAF1-PROT
APBB1IP-PROT
APC-PROT
APC2-PROT
APH1A-PROT
APH1B-PROT
APLN-PROT
APLNR-PROT
APOA1-PROT
APOA2-PROT
APOA5-PROT
APOC3-PROT
AQP7-PROT
ARAF-PROT
ARAP3-PROT
AREG-PROT
ARF1-PROT
ARF6-PROT
ARHGDIA-PROT
ARHGDIB-PROT
ARHGDIG-PROT
ARHGEF12-PROT
ARNT-PROT
ARRB1-PROT
ARRB2-PROT
ASPH-PROT
ATF2-PROT
ATF4-PROT
ATF6B-PROT
ATG12-PROT
ATG16L1-PROT
ATG5-PROT
ATM-PROT
ATP1A1-PROT
ATP1A2-PROT
ATP1A3-PROT
ATP1A4-PROT
ATP1B1-PROT
ATP1B2-PROT
ATP1B3-PROT
ATP1B4-PROT
ATP2A1-PROT
ATP2A2-PROT
ATP2A3-PROT
ATP2B1-PROT
ATP2B2-PROT
ATP2B3-PROT
ATP2B4-PROT
ATP6V1A-PROT
ATP6V1B1-PROT
ATP6V1B2-PROT
ATP6V1C1-PROT
ATP6V1C2-PROT
ATP6V1D-PROT
ATP6V1E1-PROT
ATP6V1E2-PROT
ATP6V1F-PROT
ATP6V1G1-PROT
ATP6V1G2-PROT
ATP6V1G3-PROT
ATP6V1H-PROT
ATR-PROT
ATXN1-PROT
ATXN1L-PROT
AVP-PROT
AVPR1A-PROT
AVPR1B-PROT
AVPR2-PROT
AXIN1-PROT
AXIN2-PROT
AZI2-PROT
BAD-PROT
BAG4-PROT
BAMBI-PROT
BAX-PROT
BBC3-PROT
BCAR1-PROT
BCL10-PROT
BCL2-PROT
BCL2A1-PROT
BCL2L1-PROT
BCL2L11-PROT
BCL3-PROT
BCL6-PROT
BDKRB1-PROT
BDKRB2-PROT
BDNF-PROT
BECN1-PROT
BECN2-PROT
BEX3-PROT
BID-PROT
BIRC2-PROT
BIRC3-PROT
BIRC5-PROT
BLNK-PROT
BMP2-PROT
BMP4-PROT
BMP5-PROT
BMP6-PROT
BMP7-PROT
BMP8A-PROT
BMP8B-PROT
BMPR1A-PROT
BMPR1B-PROT
BMPR2-PROT
BNIP3-PROT
BOC-PROT
BORCS8-MEF2B-PROT
BRAF-PROT
BRAP-PROT
BRCA1-PROT
BRCC3-PROT
BTC-PROT
BTK-PROT
BTRC-PROT
BUB1B-PAK6-PROT
CAB39-PROT
CAB39L-PROT
CACNA1A-PROT
CACNA1B-PROT
CACNA1C-PROT
CACNA1D-PROT
CACNA1E-PROT
CACNA1F-PROT
CACNA1G-PROT
CACNA1H-PROT
CACNA1I-PROT
CACNA1S-PROT
CACNA2D1-PROT
CACNA2D2-PROT
CACNA2D3-PROT
CACNA2D4-PROT
CACNB1-PROT
CACNB2-PROT
CACNB3-PROT
CACNB4-PROT
CACNG1-PROT
CACNG2-PROT
CACNG3-PROT
CACNG4-PROT
CACNG5-PROT
CACNG6-PROT
CACNG7-PROT
CACNG8-PROT
CACYBP-PROT
CALM1-PROT
CALM2-PROT
CALM3-PROT
CALML3-PROT
CALML4-PROT
CALML5-PROT
CALML6-PROT
CAMK1-PROT
CAMK1D-PROT
CAMK1G-PROT
CAMK2A-PROT
CAMK2B-PROT
CAMK2D-PROT
CAMK2G-PROT
CAMK4-PROT
CAMKK2-PROT
CAMP-PROT
CARD10-PROT
CARD11-PROT
CARD14-PROT
CARD16-PROT
CARD18-PROT
CARD6-PROT
CARD8-PROT
CARD9-PROT
CASP1-PROT
CASP10-PROT
CASP12-PROT
CASP3-PROT
CASP4-PROT
CASP5-PROT
CASP7-PROT
CASP8-PROT
CASP9-PROT
CASQ1-PROT
CASQ2-PROT
CASR-PROT
CASTOR1-PROT
CAT-PROT
CBL-PROT
CBLB-PROT
CCKAR-PROT
CCKBR-PROT
CCL1-PROT
CCL11-PROT
CCL13-PROT
CCL14-PROT
CCL15-PROT
CCL16-PROT
CCL17-PROT
CCL18-PROT
CCL19-PROT
CCL2-PROT
CCL20-PROT
CCL21-PROT
CCL22-PROT
CCL23-PROT
CCL24-PROT
CCL25-PROT
CCL26-PROT
CCL27-PROT
CCL28-PROT
CCL3-PROT
CCL4-PROT
CCL5-PROT
CCL7-PROT
CCL8-PROT
CCN2-PROT
CCNA1-PROT
CCNA2-PROT
CCNB1-PROT
CCNB2-PROT
CCNB3-PROT
CCND1-PROT
CCND2-PROT
CCND3-PROT
CCNE1-PROT
CCNE2-PROT
CCNG1-PROT
CCNG2-PROT
CCR1-PROT
CCR10-PROT
CCR2-PROT
CCR3-PROT
CCR4-PROT
CCR5-PROT
CCR6-PROT
CCR7-PROT
CCR8-PROT
CCR9-PROT
CD14-PROT
CD19-PROT
CD209-PROT
CD22-PROT
CD247-PROT
CD28-PROT
CD36-PROT
CD38-PROT
CD3E-PROT
CD4-PROT
CD40-PROT
CD40LG-PROT
CD72-PROT
CD79A-PROT
CD79B-PROT
CD80-PROT
CD82-PROT
CD86-PROT
CD8A-PROT
CD8B-PROT
CD8B2-PROT
CDC25B-PROT
CDC37-PROT
CDC42-PROT
CDH1-PROT
CDK1-PROT
CDK2-PROT
CDK4-PROT
CDK6-PROT
CDKN1A-PROT
CDKN1B-PROT
CDKN2A-PROT
CDKN2B-PROT
CDKN2D-PROT
CDON-PROT
CEBPB-PROT
CER1-PROT
CFLAR-PROT
CFTR-PROT
CGA-PROT
CHAD-PROT
CHD8-PROT
CHEK1-PROT
CHEK2-PROT
CHRD-PROT
CHRM1-PROT
CHRM2-PROT
CHRM3-PROT
CHRM5-PROT
CHRNA7-PROT
CHUK-PROT
CIR1-PROT
CISH-PROT
CLEC1B-PROT
CLEC4D-PROT
CLEC4E-PROT
CLEC4M-PROT
CLEC6A-PROT
CLEC7A-PROT
CLIP1-PROT
CNGA1-PROT
