Gene
ABL1-TRAN
ABL2-TRAN
ACAA1-TRAN
ACACA-TRAN
ACACB-TRAN
ACADL-TRAN
ACADM-TRAN
ACOX1-TRAN
ACOX2-TRAN
ACOX3-TRAN
ACSBG1-TRAN
ACSBG2-TRAN
ACSL1-TRAN
ACSL3-TRAN
ACSL4-TRAN
ACSL5-TRAN
ACSL6-TRAN
ACTA2-TRAN
ACTB-TRAN
ACTG1-TRAN
ACVR1-TRAN
ACVR1B-TRAN
ACVR1C-TRAN
ACVR2A-TRAN
ACVR2B-TRAN
ADAM17-TRAN
ADCY1-TRAN
ADCY10-TRAN
ADCY2-TRAN
ADCY3-TRAN
ADCY4-TRAN
ADCY5-TRAN
ADCY6-TRAN
ADCY7-TRAN
ADCY8-TRAN
ADCY9-TRAN
ADCYAP1-TRAN
ADCYAP1R1-TRAN
ADGRB1-TRAN
ADIPOQ-TRAN
ADIPOR1-TRAN
ADIPOR2-TRAN
ADORA1-TRAN
ADORA2A-TRAN
ADORA2B-TRAN
ADORA3-TRAN
ADRA1A-TRAN
ADRA1B-TRAN
ADRA1D-TRAN
ADRA2A-TRAN
ADRA2B-TRAN
ADRA2C-TRAN
ADRB1-TRAN
ADRB2-TRAN
ADRB3-TRAN
AFDN-TRAN
AFP-TRAN
AGAP2-TRAN
AGER-TRAN
AGRP-TRAN
AGT-TRAN
AGTR1-TRAN
AIFM2-TRAN
AIM2-TRAN
AJUBA-TRAN
AKT1-TRAN
AKT1S1-TRAN
AKT2-TRAN
AKT3-TRAN
ALDOA-TRAN
ALDOB-TRAN
ALDOC-TRAN
AMH-TRAN
AMHR2-TRAN
AMOT-TRAN
ANAPC5-TRAN
ANGPT1-TRAN
ANGPT2-TRAN
ANGPT4-TRAN
ANGPTL4-TRAN
AOX1-TRAN
APAF1-TRAN
APBB1IP-TRAN
APC-TRAN
APC2-TRAN
APH1A-TRAN
APH1B-TRAN
APLN-TRAN
APLNR-TRAN
APOA1-TRAN
APOA2-TRAN
APOA5-TRAN
APOC3-TRAN
AQP7-TRAN
ARAF-TRAN
ARAP3-TRAN
AREG-TRAN
ARF1-TRAN
ARF6-TRAN
ARHGDIA-TRAN
ARHGDIB-TRAN
ARHGDIG-TRAN
ARHGEF12-TRAN
ARNT-TRAN
ARRB1-TRAN
ARRB2-TRAN
ASPH-TRAN
ATF2-TRAN
ATF4-TRAN
ATF6B-TRAN
ATG12-TRAN
ATG16L1-TRAN
ATG5-TRAN
ATM-TRAN
ATP1A1-TRAN
ATP1A2-TRAN
ATP1A3-TRAN
ATP1A4-TRAN
ATP1B1-TRAN
ATP1B2-TRAN
ATP1B3-TRAN
ATP1B4-TRAN
ATP2A1-TRAN
ATP2A2-TRAN
ATP2A3-TRAN
ATP2B1-TRAN
ATP2B2-TRAN
ATP2B3-TRAN
ATP2B4-TRAN
ATP6V1A-TRAN
ATP6V1B1-TRAN
ATP6V1B2-TRAN
ATP6V1C1-TRAN
ATP6V1C2-TRAN
ATP6V1D-TRAN
ATP6V1E1-TRAN
ATP6V1E2-TRAN
ATP6V1F-TRAN
ATP6V1G1-TRAN
ATP6V1G2-TRAN
ATP6V1G3-TRAN
ATP6V1H-TRAN
ATR-TRAN
ATXN1-TRAN
ATXN1L-TRAN
AVP-TRAN
AVPR1A-TRAN
AVPR1B-TRAN
AVPR2-TRAN
AXIN1-TRAN
AXIN2-TRAN
AZI2-TRAN
BAD-TRAN
BAG4-TRAN
BAMBI-TRAN
BAX-TRAN
BBC3-TRAN
BCAR1-TRAN
BCL10-TRAN
BCL2-TRAN
BCL2A1-TRAN
BCL2L1-TRAN
BCL2L11-TRAN
BCL3-TRAN
BCL6-TRAN
BDKRB1-TRAN
BDKRB2-TRAN
BDNF-TRAN
BECN1-TRAN
BECN2-TRAN
BEX3-TRAN
BID-TRAN
BIRC2-TRAN
BIRC3-TRAN
BIRC5-TRAN
BLNK-TRAN
BMP2-TRAN
BMP4-TRAN
BMP5-TRAN
BMP6-TRAN
BMP7-TRAN
BMP8A-TRAN
BMP8B-TRAN
BMPR1A-TRAN
BMPR1B-TRAN
BMPR2-TRAN
BNIP3-TRAN
BOC-TRAN
BORCS8-MEF2B-TRAN
BRAF-TRAN
BRAP-TRAN
BRCA1-TRAN
BRCC3-TRAN
BTC-TRAN
BTK-TRAN
BTRC-TRAN
BUB1B-PAK6-TRAN
CAB39-TRAN
CAB39L-TRAN
CACNA1A-TRAN
CACNA1B-TRAN
CACNA1C-TRAN
CACNA1D-TRAN
CACNA1E-TRAN
CACNA1F-TRAN
CACNA1G-TRAN
CACNA1H-TRAN
CACNA1I-TRAN
CACNA1S-TRAN
CACNA2D1-TRAN
CACNA2D2-TRAN
CACNA2D3-TRAN
CACNA2D4-TRAN
CACNB1-TRAN
CACNB2-TRAN
CACNB3-TRAN
CACNB4-TRAN
CACNG1-TRAN
CACNG2-TRAN
CACNG3-TRAN
CACNG4-TRAN
CACNG5-TRAN
CACNG6-TRAN
CACNG7-TRAN
CACNG8-TRAN
CACYBP-TRAN
CALM1-TRAN
CALM2-TRAN
CALM3-TRAN
CALML3-TRAN
CALML4-TRAN
CALML5-TRAN
CALML6-TRAN
CAMK1-TRAN
CAMK1D-TRAN
CAMK1G-TRAN
CAMK2A-TRAN
CAMK2B-TRAN
CAMK2D-TRAN
CAMK2G-TRAN
CAMK4-TRAN
CAMKK2-TRAN
CAMP-TRAN
CARD10-TRAN
CARD11-TRAN
CARD14-TRAN
CARD16-TRAN
CARD18-TRAN
CARD6-TRAN
CARD8-TRAN
CARD9-TRAN
CASP1-TRAN
CASP10-TRAN
CASP12-TRAN
CASP3-TRAN
CASP4-TRAN
CASP5-TRAN
CASP7-TRAN
CASP8-TRAN
CASP9-TRAN
CASQ1-TRAN
CASQ2-TRAN
CASR-TRAN
CASTOR1-TRAN
CAT-TRAN
CBL-TRAN
CBLB-TRAN
CCKAR-TRAN
CCKBR-TRAN
CCL1-TRAN
CCL11-TRAN
CCL13-TRAN
CCL14-TRAN
CCL15-TRAN
CCL16-TRAN
CCL17-TRAN
CCL18-TRAN
CCL19-TRAN
CCL2-TRAN
CCL20-TRAN
CCL21-TRAN
CCL22-TRAN
CCL23-TRAN
CCL24-TRAN
CCL25-TRAN
CCL26-TRAN
CCL27-TRAN
CCL28-TRAN
CCL3-TRAN
CCL4-TRAN
CCL5-TRAN
CCL7-TRAN
CCL8-TRAN
CCN2-TRAN
CCNA1-TRAN
CCNA2-TRAN
CCNB1-TRAN
CCNB2-TRAN
CCNB3-TRAN
CCND1-TRAN
CCND2-TRAN
CCND3-TRAN
CCNE1-TRAN
CCNE2-TRAN
CCNG1-TRAN
CCNG2-TRAN
CCR1-TRAN
CCR10-TRAN
CCR2-TRAN
CCR3-TRAN
